ms,Valence,Arousal
0,0.068,0.060
200,0.068,0.060
400,0.068,0.060
600,0.068,0.060
800,0.068,0.060
1000,0.068,0.060
1200,0.068,0.060
1400,0.068,0.060
1600,0.068,0.060
1800,0.068,0.060
2000,0.068,0.060
2200,0.028,-0.020
2400,0.028,-0.020
2600,0.028,-0.020
2800,0.227,0.100
3000,0.227,0.100
3200,0.227,0.100
3400,0.466,0.339
3600,0.745,0.538
3800,1.183,0.817
4000,1.382,0.896
4200,1.382,0.896
4400,1.382,0.896
4600,1.382,0.896
4800,1.462,1.056
5000,1.462,1.056
5200,1.462,1.056
5400,1.462,1.056
5600,1.462,1.056
5800,1.462,1.056
6000,1.462,1.056
6200,1.462,1.056
6400,1.462,1.056
6600,1.462,1.056
6800,1.462,1.056
7000,1.462,1.056
7200,1.462,1.056
7400,1.462,1.056
7600,1.462,1.056
7800,1.462,1.056
8000,1.462,1.056
8200,1.462,1.056
8400,1.462,1.056
8600,1.462,1.056
8800,1.462,1.056
9000,1.462,1.056
9200,1.462,1.056
9400,1.462,1.056
9600,1.462,1.056
9800,1.462,1.056
10000,1.462,1.056
10200,1.462,1.056
10400,1.462,1.056
10600,1.462,1.056
10800,1.462,1.056
11000,1.462,1.056
11200,1.462,1.056
11400,1.462,1.056
11600,1.462,1.056
11800,1.462,1.056
12000,1.462,1.056
12200,1.462,1.056
12400,1.462,1.056
12600,1.462,1.056
12800,1.462,1.056
13000,1.462,1.056
13200,1.462,1.056
13400,1.462,1.056
13600,1.462,1.056
13800,1.462,1.056
14000,1.462,1.056
14200,1.462,1.056
14400,1.462,1.056
14600,1.462,1.056
14800,1.462,1.056
15000,1.462,1.056
15200,1.462,1.056
15400,1.462,1.056
15600,1.462,1.056
15800,1.462,1.056
16000,1.462,1.056
16200,1.462,1.056
16400,1.462,1.056
16600,1.462,1.056
16800,1.462,1.056
17000,1.462,1.056
17200,1.462,1.056
17400,1.462,1.056
17600,1.462,1.056
17800,1.462,1.056
18000,1.462,1.056
18200,1.462,1.056
18400,1.462,1.056
18600,1.462,1.056
18800,1.462,1.056
19000,1.462,1.056
19200,1.462,1.056
19400,1.462,1.056
19600,1.462,1.056
19800,1.462,1.056
20000,1.462,1.056
20200,1.462,1.056
20400,1.462,1.056
20600,1.462,1.056
20800,1.462,1.056
21000,1.462,1.056
21200,1.462,1.056
21400,1.462,1.056
21600,1.462,1.056
21800,1.462,1.056
22000,1.462,1.056
22200,1.462,1.056
22400,1.462,1.056
22600,1.462,1.056
22800,1.462,1.056
23000,1.462,1.056
23200,1.462,1.056
23400,1.462,1.056
23600,1.462,1.056
23800,1.462,1.056
