Start,End,Label
0,68000,Gru telling a story to the girls
68000,169000,Gru telling a story wearing kitten mittens
169000,195000,"Story ends, girls sleep, Gru leaves"
195000,278000,The Doctor advises Gru to send the girls away to complete the mission
278000,298000,Minions making an appearance
298000,325000,Gru having afternoon tea with the girls
325000,390000,The girls being picked up by Miss Hattie
390000,435000,"After sending the girls away, Gru misses them a bit"
435000,528000,Gru cooperating with the Doctor and Minions to complete the mission
528000,600000,Someone interrupting Gru's mission
