Calibration_Accuracy,71
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
11,83,353,true,false,false,false
16,88,359,true,false,false,false
44,81,359,true,false,false,false
91,68,354,true,false,false,false
156,89,347,true,false,false,false
251,81,370,true,false,false,false
305,84,362,true,false,false,false
342,284,379,true,false,false,false
377,452,377,true,false,false,false
411,599,379,true,false,false,false
444,697,377,true,false,false,false
474,777,357,true,false,false,false
506,845,333,true,false,false,false
537,889,326,true,false,false,false
569,907,320,true,false,false,false
618,916,340,true,false,false,false
719,1002,322,true,false,false,false
788,989,319,true,false,false,false
825,993,296,true,false,false,false
859,1069,297,true,false,false,false
885,1214,286,false,false,false,true
921,1271,275,false,true,false,false
952,1297,245,false,true,false,false
996,1339,225,false,true,false,false
1093,1388,227,false,true,false,false
1176,1430,231,false,true,false,false
1226,1455,220,false,true,false,false
1265,1498,215,false,false,false,true
1316,1525,193,false,false,false,true
1351,1522,201,false,false,false,true
1392,1510,215,false,false,false,true
1424,1526,206,false,false,false,true
1460,1485,180,false,true,false,false
1506,1515,167,false,false,false,true
1556,1524,165,false,false,false,true
1607,1507,159,false,false,false,true
1656,1542,183,false,false,false,true
1691,1555,210,false,false,false,true
1725,1523,242,false,false,false,true
1765,1493,264,false,false,false,true
1800,1500,287,false,false,false,true
1835,1501,302,false,false,false,true
1907,1470,299,false,true,false,false
1985,1418,284,false,true,false,false
2063,1388,265,false,true,false,false
2123,1357,253,false,true,false,false
2175,1353,262,false,true,false,false
2226,1366,254,false,true,false,false
2281,1408,262,false,true,false,false
2328,1400,261,false,true,false,false
2375,1407,248,false,true,false,false
2421,1399,258,false,true,false,false
2519,1420,247,false,true,false,false
2618,1495,235,false,false,false,true
2669,1456,255,false,true,false,false
2713,1432,289,false,true,false,false
2750,1459,345,false,true,false,false
2789,1320,362,false,true,false,false
2823,1254,364,false,true,false,false
2861,1173,369,true,false,false,false
2904,1124,363,true,false,false,false
2940,1038,331,true,false,false,false
2977,962,303,true,false,false,false
3020,897,272,true,false,false,false
3066,809,262,true,false,false,false
3122,720,257,true,false,false,false
3203,745,232,true,false,false,false
3285,637,226,true,false,false,false
3339,693,219,true,false,false,false
3380,779,187,true,false,false,false
3419,762,198,true,false,false,false
3457,705,239,true,false,false,false
3492,585,278,true,false,false,false
3527,572,320,true,false,false,false
3564,600,357,true,false,false,false
3603,632,419,false,false,false,true
3649,690,457,false,false,true,false
3708,727,497,false,false,true,false
3783,756,517,false,false,true,false
3841,938,444,false,false,true,false
3879,1116,365,true,false,false,false
3910,1272,299,false,true,false,false
3942,1397,238,false,true,false,false
3971,1502,192,false,false,false,true
3999,1554,148,false,false,false,true
4034,1593,93,false,false,false,true
4070,1594,51,false,false,false,true
4121,1616,28,false,false,false,true
4200,1623,5,false,false,false,true
4255,1527,69,false,false,false,true
4293,1506,80,false,false,false,true
4326,1454,105,false,false,false,true
4357,1421,106,false,false,false,true
4391,1388,115,false,false,false,true
4429,1311,130,false,false,false,true
4466,1275,144,false,true,false,false
4533,1217,180,false,false,false,true
4623,1246,179,false,true,false,false
4686,1257,185,false,true,false,false
4737,1298,197,false,true,false,false
4777,1247,234,false,true,false,false
4808,1237,239,false,true,false,false
4836,1237,262,false,true,false,false
4873,1242,262,false,true,false,false
4902,1269,256,false,true,false,false
4930,1287,254,false,true,false,false
4956,1331,231,false,true,false,false
4987,1296,234,false,true,false,false
5018,1290,232,false,true,false,false
5055,1234,244,false,false,false,true
5093,1209,243,false,false,false,true
5134,1171,243,true,false,false,false
5175,1222,228,false,false,false,true
5235,1125,239,true,false,false,false
5321,1027,240,true,false,false,false
5377,1084,214,true,false,false,false
5421,1129,208,true,false,false,false
5455,1184,214,true,false,false,false
5484,1218,213,false,false,false,true
5516,1225,224,false,false,false,true
5549,1188,228,true,false,false,false
5579,1166,228,true,false,false,false
5611,1167,213,true,false,false,false
5656,1202,232,false,false,false,true
5704,1146,228,true,false,false,false
5791,1064,213,true,false,false,false
5861,912,263,true,false,false,false
5905,895,244,true,false,false,false
5946,879,314,true,false,false,false
5982,769,335,true,false,false,false
6019,764,354,true,false,false,false
6063,562,439,false,false,true,false
6104,374,559,false,false,true,false
6153,400,586,false,false,true,false
6205,464,575,false,false,true,false
6256,712,502,false,false,true,false
6309,853,458,false,false,true,false
6347,922,414,true,false,false,false
6388,1004,352,true,false,false,false
6427,1016,310,true,false,false,false
6490,1069,277,true,false,false,false
6571,971,285,true,false,false,false
6626,839,335,true,false,false,false
6666,784,348,true,false,false,false
6712,760,341,true,false,false,false
6754,755,350,true,false,false,false
6790,749,353,true,false,false,false
6828,737,343,true,false,false,false
6864,740,335,true,false,false,false
6900,740,342,true,false,false,false
6935,719,344,true,false,false,false
6983,716,351,true,false,false,false
7029,722,356,true,false,false,false
7071,770,346,true,false,false,false
7104,842,322,true,false,false,false
7137,931,295,true,false,false,false
7168,1004,270,true,false,false,false
7204,1064,266,true,false,false,false
7239,1087,263,true,false,false,false
7285,1076,247,true,false,false,false
7350,1061,236,true,false,false,false
7406,1040,230,true,false,false,false
7446,1034,209,true,false,false,false
7482,1033,197,true,false,false,false
7521,1028,200,true,false,false,false
7557,1026,173,true,false,false,false
7592,1078,151,true,false,false,false
7627,1114,141,true,false,false,false
7659,1143,134,true,false,false,false
7689,1176,131,true,false,false,false
7720,1202,130,false,false,false,true
7754,1186,172,true,false,false,false
7805,1173,202,true,false,false,false
7889,1207,223,false,false,false,true
7953,1314,271,false,true,false,false
7993,1378,314,false,true,false,false
8032,1471,348,false,true,false,false
8071,1530,385,false,false,false,true
8113,1558,394,false,false,false,true
8155,1588,414,false,false,false,true
8217,1609,426,false,false,false,true
8294,1555,373,false,false,false,true
8370,1513,352,false,false,false,true
8431,1523,277,false,false,false,true
8474,1457,256,false,true,false,false
8511,1348,252,false,true,false,false
8543,1281,231,false,true,false,false
8591,1278,234,false,true,false,false
8640,1306,237,false,true,false,false
8690,1244,243,false,true,false,false
8732,916,269,true,false,false,false
8773,623,277,true,false,false,false
8817,453,322,true,false,false,false
8873,310,339,true,false,false,false
8940,218,358,true,false,false,false
8987,341,399,true,false,false,false
9030,498,394,true,false,false,false
9064,578,395,true,false,false,false
9096,686,368,true,false,false,false
9123,839,349,true,false,false,false
9149,922,336,true,false,false,false
9182,1052,310,true,false,false,false
9219,1150,295,true,false,false,false
9269,1226,298,false,false,false,true
9313,1246,273,false,true,false,false
9389,1314,226,false,true,false,false
9483,1353,226,false,true,false,false
9541,1371,248,false,true,false,false
9582,1315,274,false,true,false,false
9641,1340,257,false,true,false,false
9723,1362,257,false,true,false,false
9791,1356,271,false,true,false,false
9841,1399,264,false,true,false,false
9884,1288,257,false,true,false,false
9921,1417,212,false,true,false,false
9965,1433,203,false,true,false,false
10020,1439,204,false,true,false,false
10101,1401,215,false,true,false,false
10160,1299,200,false,true,false,false
10211,1263,225,false,true,false,false
10250,1237,217,false,true,false,false
10286,1228,194,false,false,false,true
10327,1245,185,false,true,false,false
10361,1247,190,false,true,false,false
10400,1006,265,true,false,false,false
10441,730,412,true,false,false,false
10488,620,450,false,false,true,false
10534,724,517,false,false,true,false
10589,834,575,false,false,true,false
10667,903,609,false,false,true,false
10731,923,587,false,false,true,false
10787,985,555,false,false,true,false
10828,1018,557,false,false,true,false
10866,1020,555,false,false,true,false
10938,1059,514,false,false,true,false
11014,1097,494,false,false,true,false
11068,1155,471,false,false,true,false
11118,1246,443,false,false,false,true
11158,1280,413,false,false,false,true
11191,1292,374,false,true,false,false
11226,1273,367,false,true,false,false
11260,1241,366,false,true,false,false
11294,1190,361,true,false,false,false
11354,1191,312,true,false,false,false
11432,1200,262,false,false,false,true
11498,1193,224,true,false,false,false
11552,1284,186,false,true,false,false
11595,1297,194,false,true,false,false
11648,1342,185,false,true,false,false
11729,1337,175,false,true,false,false
11793,1344,182,false,true,false,false
11847,1350,186,false,true,false,false
11886,1376,165,false,true,false,false
11918,1397,149,false,true,false,false
11956,1415,156,false,true,false,false
11997,1412,159,false,true,false,false
12055,1442,160,false,true,false,false
12112,1427,173,false,true,false,false
12169,1463,173,false,true,false,false
12221,1485,173,false,true,false,false
12268,1415,193,false,true,false,false
12316,1377,196,false,true,false,false
12409,1277,196,false,true,false,false
12483,1206,187,false,false,false,true
12544,1144,202,true,false,false,false
12599,1086,227,true,false,false,false
12641,1015,245,true,false,false,false
12678,995,264,true,false,false,false
12731,1018,261,true,false,false,false
12801,1040,268,true,false,false,false
12919,1089,243,true,false,false,false
13030,1088,271,true,false,false,false
13116,1108,242,true,false,false,false
13188,1140,230,true,false,false,false
13238,1196,201,false,false,false,true
13290,1295,196,false,true,false,false
13351,1323,188,false,true,false,false
13417,1496,134,false,false,false,true
13468,1663,82,false,false,false,true
13541,1598,90,false,false,false,true
13611,1661,51,false,false,false,true
13685,1632,81,false,false,false,true
13746,1601,111,false,false,false,true
13822,1532,123,false,false,false,true
13947,1513,138,false,false,false,true
14036,1544,125,false,false,false,true
14098,1581,119,false,false,false,true
14148,1569,131,false,false,false,true
14217,1543,117,false,false,false,true
14271,1441,151,false,true,false,false
14323,1182,250,true,false,false,false
14377,934,378,true,false,false,false
14426,862,517,false,false,true,false
14477,793,561,false,false,true,false
14528,776,584,false,false,true,false
14583,765,584,false,false,true,false
14640,819,551,false,false,true,false
14682,887,522,false,false,true,false
14720,950,502,false,false,true,false
14773,970,492,false,false,true,false
14867,1055,410,true,false,false,false
14949,1070,364,true,false,false,false
15004,1093,313,true,false,false,false
15066,1154,269,true,false,false,false
15140,1262,224,false,true,false,false
15222,1413,179,false,true,false,false
15311,1423,161,false,true,false,false
15368,1433,151,false,true,false,false
15422,1307,166,false,true,false,false
15484,1291,179,false,true,false,false
15533,1252,187,false,true,false,false
15570,1294,175,false,true,false,false
15606,1376,164,false,true,false,false
15646,1440,165,false,true,false,false
15691,1493,142,false,false,false,true
15732,1543,134,false,false,false,true
15779,1589,135,false,false,false,true
15838,1618,141,false,false,false,true
15913,1621,154,false,false,false,true
15972,1651,140,false,false,false,true
16014,1581,137,false,false,false,true
16048,1606,143,false,false,false,true
16084,1596,137,false,false,false,true
16118,1628,136,false,false,false,true
16149,1359,163,false,true,false,false
16189,1177,204,true,false,false,false
16243,887,251,true,false,false,false
16307,573,301,true,false,false,false
16368,393,343,true,false,false,false
16416,280,379,true,false,false,false
16476,184,404,true,false,false,false
16550,84,414,true,false,false,false
16602,25,499,false,false,false,true
16652,-33,553,false,false,false,true
16691,153,640,false,false,true,false
16726,348,679,false,false,true,false
16755,497,722,false,false,false,true
16788,646,736,false,false,false,true
16824,748,733,false,false,false,true
16893,827,739,false,false,false,true
17002,865,707,false,false,false,true
17071,923,683,false,false,true,false
17123,940,634,false,false,true,false
17165,952,599,false,false,true,false
17210,944,565,false,false,true,false
17264,912,530,false,false,true,false
17328,973,514,false,false,true,false
17392,1210,418,false,false,false,true
17442,1362,347,false,true,false,false
17515,1521,277,false,false,false,true
17581,1598,213,false,false,false,true
17641,1667,169,false,false,false,true
17691,1438,212,false,true,false,false
17734,1178,307,true,false,false,false
17778,911,435,false,false,true,false
17824,739,508,false,false,true,false
17871,613,555,false,false,true,false
17918,523,587,false,false,true,false
17958,376,614,false,false,true,false
17998,216,613,false,false,true,false
18054,94,600,false,false,true,false
18102,25,558,false,false,false,true
18147,10,528,false,false,false,true
18200,-25,493,false,false,false,true
18264,-68,463,false,false,false,true
18326,-120,442,false,false,false,true
18375,72,452,false,false,true,false
18423,286,454,false,false,true,false
18467,495,429,false,false,false,true
18508,701,411,true,false,false,false
18546,851,384,true,false,false,false
18587,1020,356,true,false,false,false
18654,1088,352,true,false,false,false
18746,1143,349,true,false,false,false
18809,1189,355,true,false,false,false
18862,1206,351,false,false,false,true
18909,1198,356,false,false,false,true
18952,1199,351,false,false,false,true
19000,1167,363,true,false,false,false
19040,1176,359,true,false,false,false
19073,1145,375,true,false,false,false
19103,1139,359,true,false,false,false
19131,1113,375,true,false,false,false
19158,1109,382,true,false,false,false
19186,1088,383,true,false,false,false
19227,1102,363,true,false,false,false
19332,1101,356,true,false,false,false
19404,1118,327,true,false,false,false
19445,1142,297,true,false,false,false
19480,1174,286,true,false,false,false
19522,1189,271,true,false,false,false
19560,1188,262,true,false,false,false
19599,1165,251,true,false,false,false
19640,1146,253,true,false,false,false
19680,1141,253,true,false,false,false
19723,1067,267,true,false,false,false
19760,1071,274,true,false,false,false
19795,1051,267,true,false,false,false
19831,1082,246,true,false,false,false
19870,1122,221,true,false,false,false
19920,1183,232,true,false,false,false
19995,1144,227,true,false,false,false
20072,1193,219,true,false,false,false
20143,1171,273,true,false,false,false
20200,1216,309,false,false,false,true
20247,1143,337,true,false,false,false
20296,1227,346,false,false,false,true
20347,1222,319,false,false,false,true
20391,1198,295,false,false,false,true
20444,1251,271,false,true,false,false
20528,1250,269,false,true,false,false
20608,1254,264,false,true,false,false
20651,1250,285,false,true,false,false
20686,1265,307,false,true,false,false
20718,1273,323,false,true,false,false
20746,1294,344,false,true,false,false
20785,1398,349,false,true,false,false
20822,1260,400,false,false,false,true
20875,1014,437,false,false,true,false
20945,833,492,false,false,true,false
21005,905,606,false,false,true,false
21049,895,667,false,false,true,false
21084,872,712,false,false,false,true
21118,841,734,false,false,false,true
21150,834,727,false,false,false,true
21180,872,688,false,false,true,false
21219,942,658,false,false,true,false
21270,802,673,false,false,true,false
21340,622,652,false,false,true,false
21407,420,672,false,false,true,false
21461,474,672,false,false,true,false
21514,568,613,false,false,true,false
21555,631,565,false,false,true,false
21599,758,509,false,false,true,false
21645,870,424,false,false,false,true
21695,953,351,true,false,false,false
21739,1021,307,true,false,false,false
21778,1095,266,true,false,false,false
21817,1168,232,true,false,false,false
21855,1205,213,false,false,false,true
21896,1225,203,false,false,false,true
21941,1250,211,false,true,false,false
22002,1276,208,false,true,false,false
22076,1285,200,false,true,false,false
22126,1291,206,false,true,false,false
22175,1309,203,false,true,false,false
22221,1239,237,false,true,false,false
22257,1306,225,false,true,false,false
22291,1305,221,false,true,false,false
22334,1365,223,false,true,false,false
22375,1380,225,false,true,false,false
22438,1380,228,false,true,false,false
22527,1345,222,false,true,false,false
22588,1313,211,false,true,false,false
22638,1341,209,false,true,false,false
22674,1295,214,false,true,false,false
22705,1255,218,false,true,false,false
22743,1246,213,false,true,false,false
22776,1238,209,false,true,false,false
22816,1231,208,false,false,false,true
22858,1239,208,false,true,false,false
22904,1228,218,false,false,false,true
22963,1190,240,true,false,false,false
23031,1220,215,false,false,false,true
23116,1211,202,false,false,false,true
23183,1274,204,false,true,false,false
23236,1281,205,false,true,false,false
23291,1323,179,false,true,false,false
23337,1358,182,false,true,false,false
23390,1364,200,false,true,false,false
23441,1404,191,false,true,false,false
23482,1406,194,false,true,false,false
23532,1401,197,false,true,false,false
23580,1347,211,false,true,false,false
23626,1310,250,false,true,false,false
23682,1427,218,false,true,false,false
23758,1444,236,false,true,false,false
23834,1445,229,false,true,false,false
23887,1489,251,false,false,false,true
23957,1507,313,false,false,false,true
24049,1483,356,false,true,false,false
24112,1402,361,false,true,false,false
24159,1379,359,false,true,false,false
24200,1423,315,false,true,false,false
24233,1405,307,false,true,false,false
24262,1410,274,false,true,false,false
24294,1414,262,false,true,false,false
24329,1428,249,false,true,false,false
24358,1455,224,false,true,false,false
24389,1484,234,false,true,false,false
24420,1484,246,false,true,false,false
24459,1452,252,false,true,false,false
24504,1424,249,false,true,false,false
24562,1426,249,false,true,false,false
24614,1391,267,false,true,false,false
24673,1370,262,false,true,false,false
24721,1320,284,false,true,false,false
24757,1256,295,false,true,false,false
24792,1275,285,false,true,false,false
24835,1310,292,false,true,false,false
24908,1256,300,false,true,false,false
24998,1235,302,false,true,false,false
25051,1262,318,false,true,false,false
25088,1323,311,false,true,false,false
25117,1321,323,false,true,false,false
25143,1305,313,false,true,false,false
25168,1272,336,false,true,false,false
25209,1264,321,false,true,false,false
25282,1248,307,false,true,false,false
25350,1235,304,false,true,false,false
25396,1215,332,false,false,false,true
25442,1192,348,true,false,false,false
25496,1133,356,true,false,false,false
25556,1207,336,false,false,false,true
25615,1232,324,false,false,false,true
25663,1234,319,false,true,false,false
25701,1224,289,false,false,false,true
25741,1259,278,false,true,false,false
25777,1274,284,false,true,false,false
25816,1281,283,false,true,false,false
25851,1265,286,false,true,false,false
25889,1367,284,false,true,false,false
25937,1362,272,false,true,false,false
25989,1407,300,false,true,false,false
26045,1389,318,false,true,false,false
26095,1524,325,false,false,false,true
26150,1375,328,false,true,false,false
26200,1218,378,false,false,false,true
26251,928,478,false,false,true,false
26297,795,469,false,false,true,false
26344,739,517,false,false,true,false
26417,730,498,false,false,true,false
26493,855,506,false,false,true,false
26548,912,485,false,false,true,false
26598,917,469,false,false,true,false
26640,962,454,false,false,true,false
26683,1010,445,false,false,true,false
26720,1046,451,false,false,true,false
26766,1084,421,false,false,false,true
26814,1110,412,true,false,false,false
26875,1131,407,true,false,false,false
26928,1236,364,false,true,false,false
26970,1328,321,false,true,false,false
27012,1351,318,false,true,false,false
27081,1321,315,false,true,false,false
27173,1408,309,false,true,false,false
27231,1489,311,false,false,false,true
27289,1501,286,false,false,false,true
27368,1511,275,false,false,false,true
27445,1560,258,false,false,false,true
27515,1531,278,false,false,false,true
27574,1551,252,false,false,false,true
27635,1556,246,false,false,false,true
27711,1597,227,false,false,false,true
27775,1451,261,false,true,false,false
27845,1313,275,false,true,false,false
27926,1211,325,false,false,false,true
27993,1264,336,false,true,false,false
28061,1327,328,false,true,false,false
28118,1373,319,false,true,false,false
28193,1406,302,false,true,false,false
28251,1486,318,false,true,false,false
28321,1461,334,false,true,false,false
28396,1340,394,false,true,false,false
28458,1254,423,false,false,false,true
28511,1181,448,false,false,true,false
28557,1102,460,false,false,true,false
28598,1038,468,false,false,true,false
28639,939,506,false,false,true,false
28708,758,526,false,false,true,false
28797,548,569,false,false,true,false
28870,623,567,false,false,true,false
28918,744,609,false,false,true,false
28968,790,620,false,false,true,false
29007,828,627,false,false,true,false
29048,873,565,false,false,true,false
29094,871,516,false,false,true,false
29142,893,496,false,false,true,false
29198,946,465,false,false,true,false
29241,965,456,false,false,true,false
29294,964,445,false,false,true,false
29337,970,446,false,false,true,false
29380,948,450,false,false,true,false
29416,948,442,false,false,true,false
29460,972,421,false,false,false,true
29526,1008,412,true,false,false,false
29579,1039,412,true,false,false,false
29626,1081,431,false,false,false,true
29661,1076,433,false,false,true,false
29695,1068,442,false,false,true,false
29725,1087,437,false,false,true,false
29753,1092,430,false,false,false,true
29786,1120,457,false,false,true,false
29817,1134,472,false,false,true,false
29845,1168,482,false,false,true,false
29874,1206,482,false,false,false,true
29901,1246,470,false,false,false,true
29930,1305,461,false,false,false,true
29961,1302,412,false,false,false,true
30005,1283,412,false,false,false,true
30093,1253,420,false,false,false,true
30154,1158,406,true,false,false,false
30208,1083,396,true,false,false,false
30262,1027,392,true,false,false,false
30312,1022,377,true,false,false,false
30357,1042,375,true,false,false,false
30402,1045,369,true,false,false,false
30446,1062,357,true,false,false,false
30487,1097,347,true,false,false,false
30546,1066,351,true,false,false,false
30618,1095,345,true,false,false,false
30667,1138,348,true,false,false,false
30713,1237,382,false,true,false,false
30770,1310,352,false,true,false,false
30828,1363,322,false,true,false,false
30888,1415,282,false,true,false,false
30931,1433,259,false,true,false,false
30984,1470,244,false,true,false,false
31061,1451,213,false,true,false,false
31119,1470,262,false,true,false,false
31170,1416,303,false,true,false,false
31211,1427,319,false,true,false,false
31254,1399,312,false,true,false,false
31289,1359,318,false,true,false,false
31344,1351,367,false,true,false,false
31438,1302,331,false,true,false,false
31522,1322,325,false,true,false,false
31574,1062,384,true,false,false,false
31618,794,454,false,false,true,false
31666,623,488,false,false,true,false
31709,611,510,false,false,true,false
