Start,End,Label
0,48000,story telling
48000,86000,start to tell the story 1st time
86000,167000,story telling few times
167000,183000,end of telling story
183000,195000,go to sleep
195000,275000,start chatting with and old man
275000,291000,minions come
291000,300000,an object coming
300000,324000,the enjoy the tea together
324000,340000,an old woman comes
340000,355000,the woman slaps the man
355000,366000,the man brings the girls come out
366000,389000,girls ready to go away
389000,408000,the man chats with the old man again
408000,429000,the man dinner himself and see the minions clean the wall
429000,438000,the man ready to sleep and scared by a doll
438000,525000,many minions come againg the man ready to fly to the space
525000,546000,another old man with yellow shirt and scared by a big object
546000,571000,someone fly to sky and meet with the man
571000,587000,the rocket fly to the space
