ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,-0.017,0.046
1000,-0.017,0.046
1200,-0.017,0.046
1400,-0.042,0.120
1600,0.081,0.194
1800,0.773,0.268
2000,1.069,0.465
2200,1.168,0.564
2400,1.365,0.762
2600,1.514,0.860
2800,1.612,0.959
3000,1.760,1.083
3200,1.810,1.132
3400,1.983,1.280
3600,2.106,1.404
3800,2.131,1.453
4000,2.180,1.650
4200,2.205,1.675
4400,2.205,1.675
4600,2.131,1.675
4800,1.983,1.576
5000,1.983,1.552
5200,1.884,1.404
5400,1.835,1.305
5600,1.835,1.280
5800,1.835,1.255
6000,1.835,1.255
6200,1.835,1.255
6400,1.835,1.008
6600,1.810,0.762
6800,1.810,0.613
7000,1.810,0.564
7200,1.810,0.564
7400,1.810,0.564
7600,1.810,0.564
7800,1.810,0.515
8000,1.810,0.515
8200,1.810,0.515
8400,1.810,0.515
8600,1.810,0.515
8800,1.859,0.490
9000,2.007,0.638
9200,2.106,0.762
9400,2.254,0.836
9600,2.254,0.934
9800,2.254,1.008
10000,2.254,1.008
10200,2.254,1.083
10400,2.254,1.255
10600,2.205,1.552
10800,2.180,1.576
11000,2.180,1.675
11200,2.180,1.675
11400,2.180,1.675
11600,2.180,1.675
11800,2.180,1.675
12000,2.180,1.675
12200,2.180,1.725
12400,2.156,1.971
12600,2.156,1.971
12800,2.156,1.971
13000,2.156,2.169
13200,2.279,2.317
13400,2.402,2.465
13600,2.551,2.687
13800,2.575,2.836
14000,2.575,2.836
14200,2.575,2.836
14400,2.452,2.737
14600,2.452,2.737
14800,2.452,2.687
15000,2.402,2.564
15200,2.328,2.441
15400,2.254,2.095
15600,2.205,2.095
15800,2.205,2.095
16000,2.205,2.021
16200,2.205,2.021
16400,2.205,2.021
16600,2.205,2.021
16800,2.205,2.021
17000,2.205,2.021
17200,2.205,2.021
17400,2.205,2.021
17600,2.205,2.021
17800,2.205,2.021
18000,2.205,2.021
18200,2.205,1.996
18400,2.180,1.897
18600,2.156,1.799
18800,2.131,1.675
19000,2.057,1.453
19200,2.007,1.132
19400,2.007,1.058
19600,1.983,1.008
19800,1.983,0.910
20000,1.958,0.712
20200,1.884,0.539
20400,1.884,0.367
20600,1.884,0.243
20800,1.884,0.218
21000,1.884,-0.029
21200,1.884,-0.078
21400,1.884,-0.201
21600,1.884,-0.350
21800,1.884,-0.424
22000,1.909,-0.522
22200,1.958,-0.621
22400,2.032,-0.695
22600,2.032,-0.819
22800,2.131,-0.942
23000,2.131,-0.967
23200,2.131,-1.016
23400,2.131,-1.016
23600,2.131,-1.066
23800,2.156,-1.115
24000,2.156,-1.140
24200,2.057,-1.313
24400,1.983,-1.559
24600,1.983,-1.609
24800,1.983,-1.708
25000,1.983,-1.708
25200,1.983,-1.708
25400,1.983,-1.708
25600,1.983,-1.708
25800,1.859,-1.806
26000,1.760,-1.831
26200,1.711,-1.856
26400,1.711,-1.856
26600,1.686,-1.856
26800,1.588,-1.954
27000,1.514,-2.029
27200,1.415,-2.152
27400,1.365,-2.251
27600,1.267,-2.275
27800,0.995,-2.300
28000,0.822,-2.300
28200,0.798,-2.300
28400,0.773,-2.300
28600,0.773,-2.251
28800,0.773,-2.201
29000,0.773,-2.201
29200,0.773,-2.103
29400,0.773,-2.103
29600,0.822,-2.103
29800,0.822,-2.004
30000,0.822,-1.954
30200,0.822,-1.954
30400,0.822,-1.954
30600,0.822,-1.954
30800,0.822,-1.954
31000,0.872,-1.954
31200,1.020,-1.979
31400,1.119,-2.004
31600,1.612,-2.177
31800,1.736,-2.177
32000,1.736,-2.103
32200,1.884,-1.584
32400,2.057,-1.436
32600,2.156,-1.411
32800,2.156,-1.411
33000,2.156,-1.411
33200,2.180,-1.436
33400,2.180,-1.510
33600,2.180,-1.683
33800,2.205,-1.732
34000,2.205,-1.757
34200,2.205,-1.856
34400,2.205,-1.905
34600,2.205,-1.905
34800,2.205,-1.905
35000,2.205,-1.905
35200,2.328,-2.201
35400,2.328,-2.201
35600,2.279,-2.300
35800,2.279,-2.424
36000,2.205,-2.572
36200,2.205,-2.572
36400,2.156,-2.646
36600,2.156,-2.695
36800,2.156,-2.720
37000,2.156,-2.720
37200,2.106,-2.794
37400,2.106,-2.794
37600,2.106,-2.794
37800,2.106,-2.794
38000,2.106,-2.794
38200,2.106,-2.794
38400,2.106,-2.794
38600,2.106,-2.794
38800,2.106,-2.794
39000,2.106,-2.794
39200,2.106,-2.794
39400,2.106,-2.794
39600,2.106,-2.794
39800,2.106,-2.794
40000,2.106,-2.794
40200,2.106,-2.794
40400,2.106,-2.794
40600,2.106,-2.794
40800,2.106,-2.794
41000,2.106,-2.794
41200,2.106,-2.794
41400,2.106,-2.794
41600,2.106,-2.794
41800,2.106,-2.794
42000,2.106,-2.794
42200,2.106,-2.794
42400,2.106,-2.794
42600,2.106,-2.794
42800,2.106,-2.794
43000,2.106,-2.794
43200,2.106,-2.794
43400,2.106,-2.794
43600,2.106,-2.794
43800,2.131,-2.794
44000,2.180,-2.794
44200,2.180,-2.794
44400,2.180,-2.794
44600,2.180,-2.794
44800,2.180,-2.794
45000,2.180,-2.794
45200,2.180,-2.794
45400,2.180,-2.794
45600,2.180,-2.794
45800,2.180,-2.794
46000,2.205,-2.720
46200,2.254,-2.646
46400,2.304,-2.424
46600,2.304,-2.275
46800,2.304,-2.177
47000,2.304,-2.029
47200,2.304,-2.029
47400,2.304,-2.029
47600,2.304,-2.029
47800,2.353,-2.053
48000,2.402,-2.103
48200,2.427,-2.127
48400,2.427,-2.127
48600,2.427,-2.127
48800,2.427,-2.127
49000,2.427,-2.127
49200,2.427,-2.127
49400,2.402,-2.127
49600,2.304,-2.103
49800,2.304,-2.103
50000,2.304,-2.103
50200,2.279,-2.053
50400,2.156,-2.004
50600,1.983,-1.806
50800,1.958,-1.806
51000,1.958,-1.806
51200,1.958,-1.806
51400,1.958,-1.806
51600,1.958,-1.806
51800,1.958,-1.806
