Calibration_Accuracy,72
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
19,694,563,false,false,true,false
25,649,630,false,false,true,false
74,636,612,false,false,true,false
113,625,581,false,false,true,false
156,549,546,false,false,true,false
196,506,544,false,false,true,false
238,491,501,false,false,false,true
281,485,475,true,false,false,false
333,531,444,true,false,false,false
379,555,414,true,false,false,false
425,556,392,true,false,false,false
463,566,382,true,false,false,false
505,552,345,true,false,false,false
550,545,319,true,false,false,false
588,558,284,true,false,false,false
631,600,262,true,false,false,false
674,630,229,true,false,false,false
718,721,271,true,false,false,false
756,757,299,true,false,false,false
796,788,296,true,false,false,false
841,777,292,true,false,false,false
882,743,289,true,false,false,false
923,741,313,true,false,false,false
964,735,327,true,false,false,false
1005,742,324,true,false,false,false
1044,740,328,true,false,false,false
1086,709,343,true,false,false,false
1125,680,370,true,false,false,false
1169,625,370,true,false,false,false
1210,618,368,true,false,false,false
1247,620,368,true,false,false,false
1290,639,360,true,false,false,false
1331,681,333,true,false,false,false
1376,702,295,true,false,false,false
1415,633,333,true,false,false,false
1463,643,332,true,false,false,false
1506,603,345,true,false,false,false
1552,627,341,true,false,false,false
1592,652,351,true,false,false,false
1632,689,338,true,false,false,false
1671,727,356,true,false,false,false
1710,724,378,true,false,false,false
1751,778,355,true,false,false,false
1792,786,357,true,false,false,false
1833,823,367,true,false,false,false
1871,873,408,true,false,false,false
1918,809,551,false,false,true,false
1964,863,535,false,false,true,false
2009,974,581,false,false,true,false
2059,955,541,false,false,true,false
2094,984,516,false,false,true,false
2131,972,479,true,false,false,false
2174,1000,395,true,false,false,false
2217,942,357,true,false,false,false
2255,854,358,true,false,false,false
2300,820,391,true,false,false,false
2339,766,431,true,false,false,false
2378,732,455,true,false,false,false
2424,679,465,true,false,false,false
2462,667,407,true,false,false,false
2498,628,371,true,false,false,false
2545,673,374,true,false,false,false
2592,650,373,true,false,false,false
2632,640,367,true,false,false,false
2669,647,359,true,false,false,false
2706,676,342,true,false,false,false
2748,693,350,true,false,false,false
2786,713,358,true,false,false,false
2831,754,392,true,false,false,false
2880,749,396,true,false,false,false
2918,745,438,true,false,false,false
2956,702,479,true,false,false,false
3006,690,492,true,false,false,false
3052,687,464,true,false,false,false
3093,693,443,true,false,false,false
3143,767,474,true,false,false,false
3189,715,490,true,false,false,false
3231,663,518,false,false,true,false
3270,706,518,false,false,true,false
3309,705,457,true,false,false,false
3360,731,453,true,false,false,false
3407,749,446,true,false,false,false
3455,743,428,true,false,false,false
3498,739,477,true,false,false,false
3547,742,461,true,false,false,false
3586,711,466,true,false,false,false
3627,703,437,true,false,false,false
3673,713,386,true,false,false,false
3717,759,322,true,false,false,false
3765,781,315,true,false,false,false
3815,747,327,true,false,false,false
3862,762,329,true,false,false,false
3907,752,371,true,false,false,false
3956,751,382,true,false,false,false
3997,750,421,true,false,false,false
4044,798,435,true,false,false,false
4086,752,502,false,false,false,true
4134,736,568,false,false,true,false
4180,739,592,false,false,true,false
4219,727,638,false,false,true,false
4267,721,567,false,false,true,false
4310,674,592,false,false,true,false
4358,660,581,false,false,true,false
4409,708,552,false,false,true,false
4457,786,518,false,false,true,false
4502,769,484,true,false,false,false
4543,731,445,true,false,false,false
4585,710,405,true,false,false,false
4629,735,412,true,false,false,false
4671,766,349,true,false,false,false
4714,778,304,true,false,false,false
4756,732,285,true,false,false,false
4795,744,305,true,false,false,false
4836,781,324,true,false,false,false
4875,794,268,true,false,false,false
4911,822,284,true,false,false,false
4947,845,301,true,false,false,false
4987,852,308,true,false,false,false
5028,868,424,true,false,false,false
5067,730,627,false,false,true,false
5107,601,788,false,false,false,true
5143,583,739,false,false,false,true
5180,609,753,false,false,false,true
5222,639,705,false,false,false,true
5263,763,663,false,false,true,false
5301,903,577,false,false,true,false
5344,867,515,false,false,true,false
5387,701,512,false,false,true,false
5430,636,505,false,false,false,true
5475,591,481,true,false,false,false
5514,619,460,true,false,false,false
5549,611,458,true,false,false,false
5585,548,473,true,false,false,false
5622,634,450,true,false,false,false
5662,629,459,true,false,false,false
5701,697,438,true,false,false,false
5743,829,446,true,false,false,false
5781,815,391,true,false,false,false
5823,839,382,true,false,false,false
5860,852,407,true,false,false,false
5899,923,426,true,false,false,false
5936,988,330,true,false,false,false
5978,988,325,true,false,false,false
6022,978,327,true,false,false,false
6066,960,301,true,false,false,false
6103,932,318,true,false,false,false
6142,857,345,true,false,false,false
6187,777,345,true,false,false,false
6225,726,350,true,false,false,false
6262,633,381,true,false,false,false
6299,545,378,true,false,false,false
6337,527,365,true,false,false,false
6374,526,344,true,false,false,false
6412,524,368,true,false,false,false
6447,506,386,true,false,false,false
6493,507,391,true,false,false,false
6530,587,422,true,false,false,false
6573,519,538,false,false,true,false
6612,560,564,false,false,true,false
6654,585,637,false,false,true,false
6693,520,666,false,false,true,false
6731,504,654,false,false,true,false
6767,542,605,false,false,true,false
6805,613,575,false,false,true,false
6842,685,530,false,false,true,false
6881,751,508,false,false,false,true
6926,842,470,true,false,false,false
6965,872,417,true,false,false,false
7002,880,350,true,false,false,false
7039,842,300,true,false,false,false
7082,823,328,true,false,false,false
7121,804,325,true,false,false,false
7161,768,347,true,false,false,false
7207,785,365,true,false,false,false
7257,748,389,true,false,false,false
