ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.000,0.000
2800,0.000,0.000
3000,0.000,0.000
3200,0.000,0.000
3400,0.000,0.000
3600,0.000,0.000
3800,0.000,0.000
4000,0.000,0.000
4200,0.000,0.000
4400,0.000,0.000
4600,0.000,0.000
4800,0.000,0.000
5000,0.000,0.000
5200,0.000,0.000
5400,0.000,0.000
5600,0.000,0.000
5800,0.000,0.000
6000,0.000,0.000
6200,0.000,0.000
6400,0.000,0.000
6600,0.000,0.000
6800,2.378,0.737
7000,2.378,0.737
7200,2.378,0.737
7400,2.378,0.737
7600,2.378,0.737
7800,2.378,0.737
8000,2.657,-0.896
8200,2.817,-0.936
8400,2.817,-1.414
8600,3.653,0.538
8800,3.693,0.458
9000,3.454,-0.936
9200,1.582,-1.892
9400,1.582,-1.892
9600,1.582,-1.892
9800,1.582,-1.892
10000,1.582,-1.892
10200,1.582,-1.892
10400,1.582,-1.892
10600,1.582,-1.892
10800,1.582,-1.892
11000,1.582,-1.892
11200,1.582,-1.892
11400,1.582,-1.892
11600,1.582,-1.892
11800,1.582,-1.892
12000,1.582,-1.892
12200,1.582,-1.892
12400,1.582,-1.892
12600,1.582,-1.892
12800,1.582,-1.892
13000,1.582,-1.892
13200,1.582,-1.892
13400,1.582,-1.892
13600,1.582,-1.892
13800,1.582,-1.892
14000,1.582,-1.892
14200,1.582,-1.892
14400,1.582,-1.892
14600,1.582,-1.892
14800,3.335,0.339
15000,3.335,0.339
15200,3.335,0.339
15400,3.335,0.339
15600,3.335,0.339
15800,3.335,0.339
16000,3.335,0.339
16200,3.335,0.339
16400,3.335,0.339
16600,3.335,0.339
16800,3.335,0.339
17000,3.335,0.339
17200,3.335,0.339
17400,3.335,0.339
17600,3.335,0.339
17800,3.335,0.339
18000,3.335,0.339
18200,3.335,0.339
18400,3.335,0.339
18600,3.335,0.339
18800,0.586,1.614
19000,0.586,1.614
19200,0.586,1.614
19400,0.586,1.614
19600,0.586,1.614
19800,0.586,1.614
20000,0.586,1.614
20200,0.586,1.614
20400,0.586,1.614
20600,0.586,1.614
20800,0.586,1.614
21000,0.586,1.614
21200,0.586,1.614
21400,0.586,1.614
21600,0.586,1.614
21800,0.586,1.614
22000,0.586,1.614
22200,0.586,1.614
22400,0.586,1.614
22600,0.586,1.614
22800,0.586,1.614
23000,0.586,1.614
23200,0.586,1.614
23400,0.586,1.614
23600,0.586,1.614
23800,0.586,1.614
24000,0.586,1.614
24200,0.586,1.614
24400,0.586,1.614
24600,0.586,1.614
24800,0.586,1.614
25000,0.586,1.614
25200,0.586,1.614
25400,-3.359,-3.805
25600,-3.359,-3.805
25800,-3.359,-3.805
26000,-3.359,-3.805
26200,-3.359,-3.805
26400,-3.359,-3.805
26600,-3.359,-3.805
26800,-3.279,-3.685
27000,-3.279,-3.685
27200,-3.279,-3.685
27400,-3.279,-3.685
27600,-3.279,-3.685
27800,-3.279,-3.685
28000,-3.279,-3.685
28200,-3.279,-3.685
28400,-3.279,-3.685
28600,-3.279,-3.446
28800,-3.319,-3.406
29000,-3.199,-2.769
29200,-3.199,-2.769
29400,-3.159,-2.649
29600,-2.880,-2.092
29800,-2.721,-1.534
30000,-2.721,-1.534
30200,-2.721,-1.534
30400,-2.721,-1.534
30600,-2.721,-1.534
30800,-2.721,-1.534
31000,-2.721,-0.259
31200,-2.721,0.219
31400,-2.721,0.219
31600,-2.721,0.219
31800,-2.721,0.219
32000,-2.721,0.219
32200,-2.721,0.219
32400,-2.721,0.219
32600,-2.721,0.219
32800,-2.721,0.219
33000,-2.721,0.219
33200,-2.721,0.219
33400,-2.721,0.219
33600,-2.721,0.219
33800,-2.721,0.219
34000,-2.721,0.219
34200,-2.721,0.219
34400,-2.721,0.219
34600,-2.721,0.219
34800,-2.721,0.219
35000,-2.721,0.219
35200,-2.721,0.219
35400,-2.721,0.219
35600,-2.721,0.219
35800,-2.721,0.219
36000,-2.721,0.219
36200,-2.721,0.219
36400,-2.721,0.219
36600,-2.721,0.219
36800,-2.721,0.219
37000,-2.801,0.219
37200,-2.721,0.219
37400,-0.649,0.219
37600,1.263,0.219
37800,1.422,0.179
38000,1.422,0.179
38200,1.422,0.179
38400,1.422,0.179
38600,1.422,0.179
38800,1.422,0.179
39000,1.422,0.179
39200,1.422,0.179
39400,1.422,0.179
39600,1.422,0.179
39800,1.422,0.179
40000,1.422,0.179
40200,1.422,0.179
40400,1.422,0.179
40600,1.422,0.179
40800,1.422,0.179
41000,1.422,0.179
41200,1.422,0.179
41400,1.422,0.179
41600,1.422,0.179
41800,1.422,0.179
42000,1.422,0.179
42200,1.422,0.179
42400,1.422,0.179
42600,1.422,0.179
42800,1.422,0.179
43000,1.422,0.179
43200,1.422,0.179
43400,1.422,0.179
43600,1.422,0.179
43800,1.422,0.179
44000,1.422,0.179
44200,1.422,0.179
44400,1.422,0.179
44600,1.422,0.179
44800,1.422,0.179
45000,1.422,0.179
45200,1.422,0.179
45400,1.343,0.139
45600,1.343,0.139
45800,1.343,0.139
46000,1.263,0.139
46200,0.904,0.100
46400,-0.888,-0.100
46600,-1.446,-0.060
46800,-1.446,-0.060
47000,-1.446,-0.060
47200,-1.446,-0.060
47400,-1.446,-0.060
47600,-1.446,-0.060
47800,-1.446,-0.060
48000,-1.446,-0.060
48200,-1.446,-0.060
48400,-1.446,-0.060
48600,-1.446,-0.060
48800,-1.446,-0.060
49000,-1.446,-0.060
49200,-1.406,-0.060
49400,-1.127,-0.060
49600,-0.171,-0.060
49800,0.426,-0.100
50000,0.904,-0.100
50200,1.422,-0.100
50400,1.422,-0.100
50600,1.422,-0.100
50800,1.582,-0.020
51000,1.741,0.538
51200,1.741,1.215
51400,1.701,1.454
51600,1.502,1.733
