Calibration_Accuracy,75
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
10,608,388,true,false,false,false
50,579,383,true,false,false,false
98,561,370,true,false,false,false
144,533,326,true,false,false,false
191,537,331,true,false,false,false
229,553,311,true,false,false,false
264,574,331,true,false,false,false
314,593,315,true,false,false,false
362,543,303,true,false,false,false
408,533,284,true,false,false,false
451,493,259,true,false,false,false
489,479,247,true,false,false,false
526,474,205,true,false,false,false
567,457,189,true,false,false,false
606,480,264,true,false,false,false
655,479,278,true,false,false,false
702,494,286,true,false,false,false
734,484,325,true,false,false,false
768,483,334,true,false,false,false
799,476,323,true,false,false,false
831,491,309,true,false,false,false
864,497,277,true,false,false,false
895,490,313,true,false,false,false
929,476,352,true,false,false,false
967,463,380,true,false,false,false
997,411,413,true,false,false,false
1021,441,400,true,false,false,false
1046,435,357,true,false,false,false
1071,446,336,true,false,false,false
1102,513,305,true,false,false,false
1131,552,253,true,false,false,false
1155,552,292,true,false,false,false
1179,651,419,true,false,false,false
1217,710,562,false,false,true,false
1269,747,717,false,false,false,true
1325,726,809,false,false,false,true
1368,721,873,false,false,false,true
1407,715,912,false,false,false,true
1444,749,954,false,false,false,true
1481,745,940,false,false,false,true
1511,700,928,false,false,false,true
1538,646,928,false,false,false,true
1568,583,874,false,false,false,true
1592,546,837,false,false,false,true
1623,501,778,false,false,false,true
1656,454,692,false,false,true,false
1691,402,635,false,false,true,false
1729,377,573,false,false,true,false
1762,347,508,false,false,false,true
1790,338,466,true,false,false,false
1817,324,429,true,false,false,false
1844,321,390,true,false,false,false
1872,321,360,true,false,false,false
1903,344,357,true,false,false,false
1936,343,326,true,false,false,false
1970,353,297,true,false,false,false
2006,353,253,true,false,false,false
2039,352,244,true,false,false,false
2065,348,264,true,false,false,false
2093,362,281,true,false,false,false
2123,381,286,true,false,false,false
2153,416,285,true,false,false,false
2186,444,270,true,false,false,false
2225,476,259,true,false,false,false
2285,525,217,true,false,false,false
2338,567,236,true,false,false,false
2377,598,237,true,false,false,false
2410,623,224,true,false,false,false
2442,674,202,true,false,false,false
2470,723,201,true,false,false,false
2499,727,222,true,false,false,false
2522,750,228,true,false,false,false
2546,700,260,true,false,false,false
2572,714,273,true,false,false,false
2596,709,269,true,false,false,false
2621,693,266,true,false,false,false
2648,676,297,true,false,false,false
2685,655,307,true,false,false,false
