ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.227,-0.060
2800,-0.410,-0.378
3000,-0.849,-0.538
3200,-0.849,-0.538
3400,-1.327,-0.538
3600,-1.406,-0.538
3800,-1.406,-0.538
4000,-1.406,-0.538
4200,-1.486,-0.498
4400,-1.964,-0.378
4600,-2.044,-0.378
4800,-2.163,-0.378
5000,-2.402,-0.339
5200,-2.402,-0.339
5400,-2.402,-0.339
5600,-2.402,-0.339
5800,-2.402,-0.339
6000,-2.402,-0.339
6200,-2.402,-0.339
6400,-2.402,-0.339
6600,-2.402,-0.339
6800,-2.402,-0.339
7000,-2.323,-0.339
7200,-2.323,-0.339
7400,-2.323,-0.339
7600,-2.323,-0.339
7800,-2.323,-0.339
8000,-2.323,-0.339
8200,-2.323,-0.339
8400,-2.323,-0.339
8600,-2.323,-0.339
8800,-2.323,-0.339
9000,-2.323,-0.339
9200,-2.323,-0.339
9400,-2.323,-0.339
9600,-2.363,-0.339
9800,-2.363,-0.339
10000,-2.363,-0.339
10200,-2.363,0.100
10400,-2.442,0.618
10600,-2.442,1.175
10800,-2.442,1.375
11000,-2.402,1.653
11200,-2.402,1.773
11400,-2.402,1.892
11600,-2.402,2.211
11800,-2.402,2.450
12000,-2.323,2.570
12200,-2.283,2.968
12400,-2.283,3.048
12600,-2.283,3.048
12800,-2.243,3.167
13000,-2.243,3.247
13200,-2.243,3.247
13400,-2.203,3.287
13600,-2.203,3.287
13800,-2.203,3.287
14000,-2.203,3.287
14200,-2.203,3.287
14400,-2.004,3.167
14600,-1.884,3.127
14800,-1.884,3.127
15000,-1.884,3.127
15200,-1.884,3.127
15400,-1.884,3.127
15600,-1.884,3.127
15800,-1.884,3.127
16000,-1.884,3.127
16200,-1.845,2.849
16400,-1.805,2.012
16600,-1.805,0.857
16800,-1.924,-0.578
17000,-2.084,-1.016
17200,-2.124,-1.175
17400,-2.243,-1.335
17600,-2.243,-1.335
17800,-2.243,-1.335
18000,-2.243,-1.454
18200,-2.243,-1.494
18400,-2.243,-1.494
18600,-2.243,-1.494
18800,-2.243,-1.614
19000,-2.402,-1.733
19200,-2.402,-1.733
19400,-2.402,-1.733
19600,-2.402,-1.733
19800,-2.402,-1.733
20000,-2.402,-1.733
20200,-2.402,-1.733
20400,-2.402,-1.733
20600,-2.402,-1.733
20800,-2.402,-1.733
21000,-2.402,-1.733
21200,-2.402,-1.733
21400,-2.402,-1.733
21600,-2.402,-1.733
21800,-2.402,-1.733
22000,-2.402,-1.733
22200,-2.402,-1.733
22400,-2.402,-1.733
22600,-2.402,-1.733
22800,-2.402,-1.733
23000,-2.522,-1.813
23200,-2.602,-2.371
23400,-2.602,-2.371
23600,-2.602,-2.490
23800,-2.681,-2.570
24000,-2.721,-2.649
24200,-2.721,-2.649
24400,-2.721,-2.649
24600,-2.721,-2.649
24800,-2.721,-2.649
25000,-2.721,-2.689
25200,-2.721,-2.689
25400,-2.721,-2.689
25600,-2.721,-2.689
25800,-2.721,-2.689
26000,-2.721,-2.689
26200,-2.721,-2.689
26400,-2.721,-2.689
26600,-2.721,-2.689
26800,-2.721,-2.689
27000,-2.721,-2.689
27200,-2.721,-2.689
27400,-2.721,-2.689
27600,-2.721,-2.689
27800,-2.721,-2.689
28000,-2.721,-2.689
28200,-2.721,-2.689
28400,-2.721,-2.689
28600,-2.721,-2.689
28800,-2.721,-2.689
29000,-2.721,-2.689
29200,-2.721,-2.689
29400,-2.721,-2.689
29600,-2.761,-2.968
29800,-2.841,-3.088
30000,-2.841,-3.167
30200,-2.880,-3.406
30400,-2.880,-3.566
30600,-2.960,-3.685
30800,-2.960,-3.725
31000,-2.960,-3.725
31200,-3.080,-3.964
31400,-3.120,-4.044
31600,-3.120,-4.084
31800,-3.359,-4.363
32000,-3.398,-4.442
32200,-3.677,-4.641
32400,-3.797,-4.681
32600,-3.996,-4.801
32800,-4.116,-4.841
33000,-4.275,-4.880
33200,-4.355,-4.880
33400,-4.355,-4.880
33600,-4.355,-4.880
33800,-4.355,-4.880
34000,-4.434,-4.960
34200,-4.474,-4.960
34400,-4.554,-5.000
34600,-4.554,-5.000
34800,-4.554,-5.000
35000,-4.554,-5.000
35200,-4.554,-5.000
35400,-4.554,-5.000
35600,-4.554,-5.000
35800,-4.554,-5.000
36000,-4.554,-5.000
36200,-4.554,-5.000
36400,-4.554,-5.000
36600,-4.554,-5.000
36800,-4.554,-5.000
37000,-4.554,-5.000
37200,-4.554,-5.000
37400,-4.554,-5.000
37600,-4.554,-5.000
37800,-4.554,-5.000
38000,-4.554,-5.000
38200,-4.554,-5.000
38400,-4.554,-5.000
38600,-4.554,-5.000
38800,-4.554,-5.000
39000,-4.554,-5.000
39200,-4.554,-5.000
39400,-4.554,-5.000
39600,-4.554,-5.000
39800,-4.554,-5.000
40000,-4.554,-5.000
40200,-4.554,-5.000
40400,-4.554,-5.000
40600,-4.554,-5.000
40800,-4.554,-5.000
41000,-4.554,-5.000
41200,-4.554,-5.000
41400,-4.554,-5.000
41600,-4.554,-5.000
41800,-4.554,-5.000
42000,-4.554,-5.000
42200,-4.554,-5.000
42400,-4.554,-5.000
42600,-4.554,-5.000
42800,-4.554,-5.000
43000,-4.554,-5.000
43200,-4.554,-5.000
43400,-4.554,-5.000
43600,-4.554,-5.000
43800,-4.554,-5.000
44000,-4.554,-5.000
44200,-4.554,-5.000
44400,-4.554,-5.000
44600,-4.554,-5.000
44800,-4.554,-5.000
45000,-4.554,-5.000
45200,-4.554,-5.000
45400,-4.554,-5.000
45600,-4.554,-5.000
45800,-4.554,-5.000
46000,-4.554,-5.000
46200,-4.554,-5.000
46400,-4.554,-5.000
46600,-4.554,-5.000
46800,-4.554,-5.000
47000,-4.554,-5.000
47200,-4.554,-5.000
