Start,End,Label
0,16000,Wild-living monkeys contrasted with captive ones
16000,33000,Imprisoned due to human trade
33000,42000,The monkey being purchased
42000,60000,Those living in nature have more love
60000,102000,Wild ones learning to climb trees from elders
102000,121000,The purchased one being trained to climb trees
121000,195000,Learning the whole process of picking coconuts
195000,207000,Receiving coconut milk as a reward at the same time
207000,257000,Wild-living ones forced to eat trash
257000,304000,Learning to use tools even in the wild
304000,331000,Sometimes catching bugs as well
331000,339000,Obtaining natural food
