Calibration_Accuracy,69
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
29,531,486,true,false,false,false
72,564,486,true,false,false,false
114,591,486,true,false,false,false
156,632,505,false,false,false,true
193,579,492,true,false,false,false
229,558,476,true,false,false,false
265,577,429,true,false,false,false
302,578,423,true,false,false,false
338,620,404,true,false,false,false
374,600,398,true,false,false,false
405,559,394,true,false,false,false
425,591,436,true,false,false,false
441,605,467,true,false,false,false
460,616,494,true,false,false,false
479,644,513,false,false,true,false
497,612,535,false,false,true,false
516,609,530,false,false,true,false
535,624,518,false,false,true,false
555,636,506,false,false,false,true
577,591,480,true,false,false,false
597,587,450,true,false,false,false
618,632,412,true,false,false,false
638,638,371,true,false,false,false
660,677,415,true,false,false,false
683,668,424,true,false,false,false
701,643,464,true,false,false,false
722,594,484,true,false,false,false
744,561,521,false,false,true,false
763,590,537,false,false,true,false
783,615,542,false,false,true,false
802,594,529,false,false,true,false
823,621,548,false,false,true,false
843,659,565,false,false,true,false
864,669,553,false,false,true,false
882,719,542,false,false,true,false
904,746,553,false,false,true,false
926,707,561,false,false,true,false
946,665,552,false,false,true,false
965,628,544,false,false,true,false
983,646,554,false,false,true,false
1002,652,543,false,false,true,false
1022,679,543,false,false,true,false
1040,718,570,false,false,true,false
1061,731,574,false,false,true,false
1085,733,584,false,false,true,false
1107,705,582,false,false,true,false
1128,669,591,false,false,true,false
1149,627,604,false,false,true,false
1171,603,594,false,false,true,false
1189,605,574,false,false,true,false
1211,617,564,false,false,true,false
1232,629,555,false,false,true,false
1252,623,558,false,false,true,false
1273,634,523,false,false,true,false
1293,643,493,true,false,false,false
1315,620,469,true,false,false,false
1337,634,458,true,false,false,false
1358,671,464,true,false,false,false
1381,666,447,true,false,false,false
1401,680,429,true,false,false,false
1420,662,422,true,false,false,false
1439,667,396,true,false,false,false
1463,671,375,true,false,false,false
1491,675,323,true,false,false,false
1514,707,290,true,false,false,false
1535,736,288,true,false,false,false
1554,684,275,true,false,false,false
1571,710,268,true,false,false,false
1588,707,273,true,false,false,false
1605,746,358,true,false,false,false
1621,816,414,true,false,false,false
1637,808,431,true,false,false,false
1652,835,433,true,false,false,false
1667,809,450,true,false,false,false
