Calibration_Accuracy,63
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
16,1274,554,false,false,false,true
18,1307,572,false,false,false,true
18,1193,537,false,false,true,false
26,1214,503,false,false,false,true
57,1278,453,false,false,false,true
92,1246,448,false,false,false,true
135,1197,410,false,false,false,true
197,1210,373,false,false,false,true
272,1117,319,true,false,false,false
326,1223,248,false,false,false,true
372,1262,209,false,true,false,false
420,1126,124,true,false,false,false
450,1091,66,false,false,false,true
479,1091,80,true,false,false,false
508,1088,138,true,false,false,false
535,1048,151,true,false,false,false
567,1024,152,true,false,false,false
595,865,231,true,false,false,false
629,777,274,true,false,false,false
667,871,344,true,false,false,false
696,996,333,true,false,false,false
730,970,307,true,false,false,false
760,1021,243,true,false,false,false
789,1011,216,true,false,false,false
815,1061,199,true,false,false,false
846,1041,213,true,false,false,false
875,1018,265,true,false,false,false
905,1003,293,true,false,false,false
935,955,349,true,false,false,false
970,1030,335,true,false,false,false
1003,1017,331,true,false,false,false
1031,1051,306,true,false,false,false
1066,1034,330,true,false,false,false
1093,946,376,true,false,false,false
1121,996,359,true,false,false,false
1149,1041,342,true,false,false,false
1179,1062,313,true,false,false,false
1207,1202,306,false,false,false,true
1239,1487,292,false,false,false,true
1264,1623,293,false,false,false,true
1297,1652,303,false,false,false,true
1322,1711,316,false,false,false,true
1348,1778,354,false,false,false,true
1373,1847,374,false,false,false,true
1391,1942,382,false,false,false,true
1411,1986,382,false,false,false,true
1435,1956,365,false,false,false,true
1457,1923,345,false,false,false,true
1480,1904,387,false,false,false,true
1506,1883,423,false,false,false,true
1537,1795,381,false,false,false,true
1561,1687,328,false,false,false,true
1594,1659,309,false,false,false,true
1622,1577,296,false,false,false,true
1650,1514,296,false,false,false,true
1678,1454,274,false,true,false,false
1704,1409,294,false,true,false,false
1736,1339,313,false,true,false,false
1764,1375,324,false,true,false,false
1796,1319,330,false,true,false,false
1821,1313,377,false,true,false,false
1848,1276,413,false,false,false,true
1880,1178,479,false,false,true,false
1910,1078,518,false,false,true,false
1939,1022,548,false,false,true,false
1967,924,532,false,false,true,false
1991,1017,486,false,false,true,false
2023,1025,418,true,false,false,false
2049,1066,358,true,false,false,false
2077,1119,306,true,false,false,false
2102,1257,264,false,true,false,false
2133,1254,248,false,true,false,false
2159,1320,195,false,true,false,false
2190,1306,166,false,true,false,false
2224,1334,174,false,true,false,false
2257,1357,208,false,true,false,false
2307,1381,224,false,true,false,false
2360,1436,189,false,true,false,false
2407,1488,199,false,false,false,true
2439,1561,183,false,false,false,true
2475,1524,209,false,false,false,true
2512,1533,210,false,false,false,true
2561,1559,204,false,false,false,true
2620,1550,240,false,false,false,true
2672,1514,261,false,false,false,true
2709,1489,264,false,false,false,true
2747,1501,263,false,false,false,true
2778,1533,246,false,false,false,true
2815,1564,218,false,false,false,true
2855,1512,227,false,false,false,true
2882,1511,230,false,false,false,true
2915,1459,248,false,true,false,false
2944,1446,271,false,true,false,false
2984,1430,247,false,true,false,false
3020,1270,319,false,true,false,false
3088,1182,327,true,false,false,false
3147,1118,336,true,false,false,false
3195,1042,340,true,false,false,false
3226,1006,349,true,false,false,false
3259,1034,315,true,false,false,false
3286,1047,297,true,false,false,false
3315,1017,324,true,false,false,false
3342,1066,327,true,false,false,false
3374,1055,325,true,false,false,false
3412,1100,286,true,false,false,false
3442,1175,243,true,false,false,false
3481,1199,242,false,false,false,true
3526,1185,265,true,false,false,false
3573,1183,277,true,false,false,false
3607,1210,283,false,false,false,true
3637,1315,254,false,true,false,false
3664,1405,229,false,true,false,false
3688,1410,219,false,true,false,false
3717,1436,203,false,true,false,false
3742,1425,187,false,true,false,false
3791,1403,190,false,true,false,false
3842,1418,194,false,true,false,false
3891,1373,197,false,true,false,false
3926,1372,189,false,true,false,false
3956,1373,208,false,true,false,false
3983,1258,264,false,true,false,false
4017,1237,294,false,true,false,false
4049,1297,291,false,true,false,false
4082,1326,267,false,true,false,false
4129,1336,267,false,true,false,false
4167,1357,274,false,true,false,false
4203,1400,290,false,true,false,false
4227,1396,276,false,true,false,false
4251,1440,269,false,true,false,false
4275,1481,269,false,true,false,false
4303,1470,267,false,true,false,false
4330,1447,260,false,true,false,false
4353,1428,246,false,true,false,false
4376,1415,229,false,true,false,false
4400,1403,215,false,true,false,false
4430,1374,219,false,true,false,false
4455,1399,230,false,true,false,false
4485,1378,225,false,true,false,false
4527,1307,232,false,true,false,false
4571,1303,222,false,true,false,false
4612,1157,270,true,false,false,false
4656,992,313,true,false,false,false
4690,840,340,true,false,false,false
4718,723,357,true,false,false,false
4751,697,369,true,false,false,false
4794,761,347,true,false,false,false
4845,906,302,true,false,false,false
4882,1087,277,true,false,false,false
4916,1169,275,true,false,false,false
4949,1349,232,false,true,false,false
4976,1413,279,false,true,false,false
5009,1568,234,false,false,false,true
5040,1568,243,false,false,false,true
5073,1529,269,false,false,false,true
5105,1606,239,false,false,false,true
5145,1533,285,false,false,false,true
5200,1496,288,false,false,false,true
5253,1393,337,false,true,false,false
5297,1303,376,false,true,false,false
5335,1468,357,false,true,false,false
5365,1488,333,false,false,false,true
5396,1491,319,false,false,false,true
5425,1499,304,false,false,false,true
5458,1534,298,false,false,false,true
5482,1546,316,false,false,false,true
5509,1554,331,false,false,false,true
5541,1597,334,false,false,false,true
5573,1635,295,false,false,false,true
5603,1725,263,false,false,false,true
5633,1473,376,false,true,false,false
5661,1298,460,false,false,false,true
5694,1289,448,false,false,false,true
5723,1281,450,false,false,false,true
5755,1294,431,false,false,false,true
5778,1347,421,false,false,false,true
5807,1343,380,false,true,false,false
5831,1386,366,false,true,false,false
5861,1320,339,false,true,false,false
5888,1287,324,false,true,false,false
5924,1287,306,false,true,false,false
5964,1279,284,false,true,false,false
6000,1308,249,false,true,false,false
6040,1227,234,false,false,false,true
6073,1292,225,false,true,false,false
6106,1356,213,false,true,false,false
6136,1385,210,false,true,false,false
6162,1400,192,false,true,false,false
6184,1407,209,false,true,false,false
6212,1430,236,false,true,false,false
6240,1459,269,false,true,false,false
6264,1463,300,false,true,false,false
6296,1360,326,false,true,false,false
6327,1230,354,false,false,false,true
6357,1081,382,true,false,false,false
6385,956,403,true,false,false,false
6412,827,443,false,false,true,false
6439,726,468,false,false,true,false
6463,610,486,false,false,true,false
6490,545,495,false,false,true,false
6518,461,524,false,false,true,false
6555,517,488,false,false,true,false
6602,701,468,false,false,true,false
6637,870,436,false,false,true,false
6672,970,390,true,false,false,false
6700,1065,346,true,false,false,false
6730,1173,316,true,false,false,false
6759,1281,291,false,true,false,false
6792,1302,260,false,true,false,false
6821,1314,237,false,true,false,false
6862,1327,213,false,true,false,false
6912,1338,222,false,true,false,false
6963,1456,217,false,true,false,false
7002,1394,249,false,true,false,false
7037,1418,341,false,true,false,false
7071,1434,427,false,false,false,true
7108,1336,412,false,false,false,true
7135,1232,404,false,false,false,true
7163,1154,443,false,false,true,false
7194,1135,393,true,false,false,false
7222,1018,398,true,false,false,false
7257,1001,394,true,false,false,false
7289,856,389,true,false,false,false
7322,771,392,true,false,false,false
7363,810,360,true,false,false,false
7400,855,339,true,false,false,false
7430,968,282,true,false,false,false
7459,1201,292,false,false,false,true
7480,1308,315,false,true,false,false
7504,1347,288,false,true,false,false
7538,1411,278,false,true,false,false
7568,1409,281,false,true,false,false
7606,1495,266,false,false,false,true
7641,1645,225,false,false,false,true
7673,1514,262,false,false,false,true
7704,1501,282,false,false,false,true
7735,1526,275,false,false,false,true
7762,1517,246,false,false,false,true
7794,1610,208,false,false,false,true
7820,1637,194,false,false,false,true
7854,1350,227,false,true,false,false
7891,1100,272,true,false,false,false
7944,993,276,true,false,false,false
8001,1027,241,true,false,false,false
8049,1046,205,true,false,false,false
8084,971,205,true,false,false,false
8120,1020,191,true,false,false,false
8148,1051,198,true,false,false,false
8177,1098,210,true,false,false,false
8200,1075,228,true,false,false,false
8227,1170,212,true,false,false,false
8250,1251,198,false,true,false,false
8269,1276,212,false,true,false,false
8294,1278,208,false,true,false,false
8318,1214,225,false,false,false,true
8345,1227,222,false,false,false,true
8369,1223,217,false,false,false,true
8403,1237,233,false,true,false,false
8431,1214,279,false,false,false,true
8464,1278,262,false,true,false,false
8495,1331,246,false,true,false,false
8534,1382,231,false,true,false,false
8568,1479,206,false,true,false,false
