Calibration_Accuracy,71
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
11,295,422,true,false,false,false
65,299,396,true,false,false,false
121,346,364,true,false,false,false
187,376,351,true,false,false,false
234,360,333,true,false,false,false
276,268,311,true,false,false,false
325,133,318,true,false,false,false
381,48,311,true,false,false,false
426,-73,306,false,false,false,true
460,-129,288,false,false,false,true
490,-176,280,false,false,false,true
536,-131,259,false,false,false,true
589,-75,267,false,false,false,true
653,-58,270,false,false,false,true
707,-13,279,false,false,false,true
753,-71,289,false,false,false,true
792,-1,285,false,false,false,true
829,54,284,true,false,false,false
861,82,271,true,false,false,false
893,83,281,true,false,false,false
930,80,299,true,false,false,false
973,42,306,true,false,false,false
1007,55,300,true,false,false,false
1043,46,304,true,false,false,false
1075,38,295,true,false,false,false
1117,37,298,true,false,false,false
1167,40,285,true,false,false,false
1216,18,293,false,false,false,true
1252,-20,296,false,false,false,true
1287,-33,304,false,false,false,true
1323,-36,351,false,false,false,true
1356,117,378,true,false,false,false
1397,128,405,true,false,false,false
1450,134,443,true,false,false,false
1501,226,420,true,false,false,false
1557,406,356,true,false,false,false
1610,534,314,true,false,false,false
1662,513,313,true,false,false,false
1703,598,299,true,false,false,false
1766,769,263,true,false,false,false
1828,985,224,true,false,false,false
1882,1075,216,true,false,false,false
1929,1195,166,true,false,false,false
1985,1186,156,true,false,false,false
2056,1311,134,false,true,false,false
2123,1323,122,false,true,false,false
2171,1289,122,false,true,false,false
2218,1402,82,false,true,false,false
2261,1503,64,false,false,false,true
2313,1590,40,false,false,false,true
2363,1663,15,false,false,false,true
2424,1602,43,false,false,false,true
2469,1304,91,false,true,false,false
2522,1119,110,true,false,false,false
2581,1113,123,true,false,false,false
2646,921,200,true,false,false,false
2721,1036,211,true,false,false,false
2794,1062,194,true,false,false,false
2862,1090,252,true,false,false,false
2920,1338,224,false,true,false,false
2975,1420,253,false,true,false,false
3039,1528,266,false,false,false,true
3105,1466,243,false,true,false,false
3169,1332,237,false,true,false,false
3232,1170,256,true,false,false,false
3300,1122,240,true,false,false,false
3368,1099,213,true,false,false,false
3434,942,235,true,false,false,false
3491,817,286,true,false,false,false
3548,861,334,true,false,false,false
3596,797,386,true,false,false,false
3647,847,410,true,false,false,false
3696,871,402,true,false,false,false
3761,772,400,true,false,false,false
3829,725,441,true,false,false,false
3892,581,494,true,false,false,false
3951,520,505,false,false,false,true
4008,422,550,false,false,true,false
4071,354,564,false,false,true,false
4128,311,554,false,false,true,false
4186,401,493,true,false,false,false
4237,622,392,true,false,false,false
4299,866,311,true,false,false,false
4363,827,281,true,false,false,false
4434,760,259,true,false,false,false
4496,760,252,true,false,false,false
4549,707,242,true,false,false,false
4598,684,234,true,false,false,false
4640,629,220,true,false,false,false
4686,668,199,true,false,false,false
4740,637,194,true,false,false,false
4793,739,183,true,false,false,false
4840,858,184,true,false,false,false
4883,906,194,true,false,false,false
4924,953,204,true,false,false,false
4959,1002,197,true,false,false,false
4991,1013,195,true,false,false,false
5023,964,210,true,false,false,false
5056,941,215,true,false,false,false
5089,934,234,true,false,false,false
5127,820,279,true,false,false,false
5163,856,309,true,false,false,false
5199,776,364,true,false,false,false
5242,809,407,true,false,false,false
5285,788,434,true,false,false,false
5323,850,456,true,false,false,false
5366,677,457,true,false,false,false
5409,684,451,true,false,false,false
5446,624,468,true,false,false,false
5486,490,455,true,false,false,false
5526,365,457,true,false,false,false
5577,295,453,true,false,false,false
5633,243,458,true,false,false,false
5682,163,444,true,false,false,false
5725,96,425,true,false,false,false
5767,17,422,false,false,false,true
5806,-53,416,false,false,false,true
5841,-58,409,false,false,false,true
5877,-118,417,false,false,false,true
5915,-217,407,false,false,false,true
5955,-275,394,false,false,false,true
5992,-213,370,false,false,false,true
6029,-171,364,false,false,false,true
6071,-4,333,false,false,false,true
6116,110,315,true,false,false,false
6157,268,312,true,false,false,false
6190,503,273,true,false,false,false
6215,667,250,true,false,false,false
6236,799,232,true,false,false,false
6257,883,223,true,false,false,false
6277,970,218,true,false,false,false
6308,990,206,true,false,false,false
6350,921,208,true,false,false,false
6407,975,219,true,false,false,false
6459,944,223,true,false,false,false
6501,901,231,true,false,false,false
6536,849,236,true,false,false,false
6572,829,240,true,false,false,false
6601,862,236,true,false,false,false
6628,809,244,true,false,false,false
6656,763,252,true,false,false,false
6685,688,247,true,false,false,false
6712,643,255,true,false,false,false
6742,572,265,true,false,false,false
6768,575,282,true,false,false,false
6792,636,278,true,false,false,false
6822,604,298,true,false,false,false
6848,669,291,true,false,false,false
6879,656,349,true,false,false,false
6909,768,364,true,false,false,false
6940,870,389,true,false,false,false
6974,737,421,true,false,false,false
7005,666,449,true,false,false,false
7033,642,462,true,false,false,false
7066,559,467,true,false,false,false
7098,515,443,true,false,false,false
7124,365,428,true,false,false,false
7153,273,402,true,false,false,false
7185,167,393,true,false,false,false
7215,52,403,true,false,false,false
7247,-24,402,false,false,false,true
7281,58,375,true,false,false,false
7316,68,343,true,false,false,false
7355,198,315,true,false,false,false
7392,320,301,true,false,false,false
7428,398,280,true,false,false,false
7464,466,279,true,false,false,false
7495,517,288,true,false,false,false
7526,512,345,true,false,false,false
7555,617,381,true,false,false,false
7580,835,414,true,false,false,false
7602,1001,437,true,false,false,false
7623,894,480,true,false,false,false
7647,794,517,false,false,true,false
7672,682,516,false,false,true,false
7696,657,519,false,false,true,false
7721,602,520,false,false,true,false
7750,508,511,false,false,true,false
