ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.068,-0.378
2000,0.068,-0.378
2200,0.068,-0.378
2400,0.068,-0.378
2600,0.068,-0.378
2800,0.068,-0.378
3000,0.068,-0.259
3200,-0.849,-0.060
3400,-1.127,-0.060
3600,-1.327,-0.020
3800,-1.247,0.100
4000,-1.566,0.418
4200,-1.685,0.418
4400,-1.884,0.418
4600,-2.243,1.693
4800,-2.442,3.606
5000,-2.602,4.363
5200,-2.602,4.363
5400,-2.602,4.363
5600,-2.602,4.363
5800,-2.602,4.363
6000,-2.602,4.363
6200,-2.602,4.363
6400,-2.602,4.363
6600,-2.602,4.363
6800,-2.602,4.363
7000,-2.602,4.363
7200,-2.602,4.363
7400,-2.602,4.363
7600,-2.602,4.363
7800,-2.602,4.363
8000,-2.880,4.363
8200,-2.880,4.363
8400,-2.880,4.363
8600,-2.880,4.363
8800,-2.960,4.084
9000,-2.960,4.084
9200,-2.960,4.084
9400,-3.040,4.084
9600,-3.040,4.084
9800,-3.080,4.084
10000,-3.359,4.124
10200,-3.478,4.163
10400,-3.876,4.163
10600,-3.996,4.163
10800,-3.996,4.163
11000,-3.996,4.163
11200,-3.996,4.163
11400,-3.996,4.163
11600,-3.996,4.163
11800,-3.996,4.163
12000,-3.996,4.163
12200,-3.996,4.163
12400,-3.996,4.163
12600,-3.996,4.163
12800,-3.996,4.163
13000,-3.996,4.163
13200,-3.996,4.163
13400,-3.996,4.163
13600,-3.996,4.163
13800,-3.996,4.163
14000,-3.996,4.163
14200,-3.996,4.163
14400,-3.996,4.163
14600,-3.996,4.163
14800,-3.996,4.163
15000,-3.996,4.163
15200,-3.996,4.163
15400,-3.996,4.163
15600,-3.996,4.163
15800,-3.996,4.163
16000,-3.996,4.163
16200,-3.996,4.163
16400,-3.996,4.163
16600,-3.996,4.163
16800,-3.996,4.163
17000,-3.996,4.163
17200,-3.996,4.163
17400,-3.996,4.163
17600,-3.996,4.163
17800,-3.996,4.163
18000,-3.996,4.163
18200,-3.996,4.163
18400,-3.996,4.163
18600,-3.996,4.163
18800,-3.996,4.163
19000,-3.996,4.163
19200,-3.996,4.163
19400,-3.996,4.163
19600,-3.996,4.163
19800,-3.996,4.163
20000,-3.996,4.163
20200,-3.996,4.163
20400,-3.996,4.163
20600,-3.996,4.163
20800,-3.996,4.163
21000,-3.996,4.163
21200,-3.996,4.163
21400,-3.996,4.163
21600,-3.996,4.163
21800,-3.996,4.163
22000,-3.996,4.163
22200,-3.996,4.163
22400,-3.797,3.287
22600,-3.359,2.291
22800,-2.801,0.896
23000,-1.566,-0.060
23200,-0.331,-0.857
23400,0.386,-1.175
23600,0.586,-1.414
23800,0.665,-1.574
24000,-0.769,-1.773
24200,-1.884,-2.012
24400,0.028,-2.052
24600,1.223,-1.653
24800,1.263,-1.215
25000,1.263,-1.175
25200,1.263,-1.175
25400,1.263,-1.175
25600,1.263,-1.175
25800,1.263,-1.733
26000,1.263,-1.733
26200,1.263,-1.733
26400,1.263,-1.733
26600,1.263,-1.733
26800,1.263,-1.733
27000,1.263,-1.733
27200,1.263,-1.733
27400,1.263,-1.733
27600,1.263,-1.733
27800,1.263,-1.733
28000,1.263,-1.733
28200,1.263,-1.733
28400,1.263,-1.733
28600,1.263,-1.733
28800,1.263,-1.733
29000,1.263,-1.733
29200,1.263,-1.733
29400,1.263,-1.733
29600,1.263,-1.733
29800,1.263,-1.733
30000,1.263,-1.733
30200,1.263,-1.733
30400,1.263,-1.733
30600,1.263,-1.733
30800,1.263,-1.733
31000,1.263,-1.733
31200,1.263,-1.733
31400,1.263,-1.733
31600,1.263,-1.733
31800,1.263,-1.733
32000,1.263,-1.733
32200,1.263,-1.733
32400,1.263,-1.733
32600,1.263,-1.733
32800,1.263,-1.733
33000,1.263,-1.733
33200,1.263,-1.733
33400,1.263,-1.733
33600,1.263,-1.733
33800,1.263,-1.733
34000,1.263,-1.733
34200,1.263,-1.733
34400,1.263,-1.733
34600,1.263,-1.733
34800,1.263,-1.733
35000,1.263,-1.733
35200,1.263,-1.733
35400,1.263,-0.219
35600,1.303,1.375
35800,1.303,1.853
36000,1.143,2.689
36200,1.143,3.406
36400,1.143,3.446
36600,1.143,3.446
36800,1.143,3.446
37000,1.143,3.446
37200,1.143,3.446
37400,1.821,3.446
37600,2.259,3.486
37800,2.777,3.606
38000,2.896,3.606
38200,3.016,3.606
38400,3.016,3.606
38600,3.016,3.606
38800,3.016,3.606
39000,3.016,3.606
39200,3.016,3.606
39400,3.016,3.606
39600,3.016,3.606
39800,3.016,3.606
40000,3.016,3.606
40200,3.016,3.606
40400,3.016,3.606
40600,3.016,3.606
40800,3.016,3.606
41000,3.016,3.606
41200,3.016,3.606
41400,3.016,3.606
41600,3.016,3.606
41800,3.016,3.606
42000,3.016,3.606
42200,3.016,3.606
42400,3.016,3.606
42600,3.016,3.606
42800,3.016,3.606
43000,3.016,3.606
43200,3.016,3.446
43400,2.697,2.530
43600,2.418,1.693
43800,2.139,0.737
44000,1.741,-0.139
44200,1.303,-0.896
44400,1.223,-1.016
44600,1.143,-1.135
44800,0.984,-1.295
45000,0.984,-1.335
45200,0.705,-1.335
45400,0.705,-1.335
45600,0.785,-1.454
45800,1.223,-1.813
46000,1.462,-1.972
46200,1.462,-1.972
46400,1.502,-2.131
46600,1.502,-2.291
46800,1.502,-2.291
47000,1.502,-2.490
47200,1.502,-2.610
47400,1.502,-2.610
47600,1.502,-2.610
47800,1.502,-2.610
48000,1.502,-2.610
48200,1.502,-2.610
48400,1.502,-2.610
48600,1.502,-2.610
48800,1.502,-2.610
49000,1.582,-2.729
49200,1.582,-2.729
49400,1.582,-2.729
49600,1.582,-2.729
49800,1.582,-2.729
50000,1.582,-2.729
50200,1.422,-0.857
50400,1.422,-0.060
50600,1.422,-0.060
50800,1.422,-0.060
