ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.000,0.000
2800,0.000,0.000
3000,0.000,0.000
3200,0.000,0.000
3400,0.000,0.000
3600,0.000,0.000
3800,0.000,0.000
4000,0.000,0.000
4200,0.000,0.000
4400,0.000,0.000
4600,0.000,0.000
4800,0.000,0.000
5000,0.000,0.000
5200,0.000,0.000
5400,0.000,0.000
5600,0.000,0.000
5800,0.000,0.000
6000,0.000,0.000
6200,0.000,0.000
6400,0.000,0.000
6600,0.000,0.000
6800,0.000,0.000
7000,-0.012,-0.378
7200,-0.012,-0.378
7400,-0.012,-0.378
7600,-0.012,-0.378
7800,-0.012,-0.378
8000,-0.012,-0.378
8200,-0.012,-0.378
8400,-0.012,-0.618
8600,-0.012,-0.618
8800,-0.012,-0.618
9000,-0.012,-0.618
9200,-0.012,-0.618
9400,-0.012,-0.618
9600,-0.052,-0.976
9800,-0.052,-0.976
10000,-0.052,-0.976
10200,0.108,-1.335
10400,0.028,-1.653
10600,0.028,-2.012
10800,0.028,-2.211
11000,0.108,-2.490
11200,0.108,-2.490
11400,0.108,-2.490
11600,0.108,-2.490
11800,0.108,-2.490
12000,0.108,-2.490
12200,0.147,-2.490
12400,0.147,-2.849
12600,0.147,-2.849
12800,0.147,-2.849
13000,0.147,-2.849
13200,0.147,-2.849
13400,0.147,-3.127
13600,0.147,-3.127
13800,0.147,-3.127
14000,0.147,-3.127
14200,0.147,-3.127
14400,0.147,-3.127
14600,0.147,-3.127
14800,0.147,-3.127
15000,0.147,-3.127
15200,0.147,-3.127
15400,0.147,-3.127
15600,0.147,-3.127
15800,0.147,-3.127
16000,0.147,-3.127
16200,0.147,-3.127
16400,0.147,-3.127
16600,0.147,-3.127
16800,0.147,-3.127
17000,0.147,-3.127
17200,0.147,-3.127
17400,0.147,-3.127
17600,0.147,-3.127
17800,0.147,-3.127
18000,0.147,-3.127
18200,0.147,-3.127
18400,0.147,-3.127
18600,0.147,-2.928
18800,0.147,-2.928
19000,0.147,-2.928
19200,0.147,-2.928
19400,0.147,-2.928
19600,0.147,-2.928
19800,0.108,-2.928
20000,-0.052,-2.928
20200,-0.131,-2.928
20400,-0.131,-2.928
20600,-0.131,-2.928
20800,-0.131,-2.928
21000,-0.131,-2.928
21200,-0.131,-2.928
21400,-0.291,-2.888
21600,-0.331,-2.888
21800,-0.331,-2.888
22000,-0.331,-2.888
22200,-0.331,-2.888
22400,-0.371,-2.888
22600,-0.490,-3.008
22800,-0.490,-3.008
23000,-0.490,-3.008
23200,-0.490,-3.008
23400,-0.490,-3.008
23600,-0.490,-3.008
23800,-0.490,-3.008
24000,-0.689,-3.088
24200,-0.888,-3.088
24400,-0.888,-3.088
24600,-0.888,-3.088
24800,-0.888,-3.088
25000,-0.888,-3.088
25200,-0.888,-3.088
25400,-0.888,-3.088
25600,-0.888,-3.088
25800,-0.888,-3.088
26000,-0.888,-3.088
26200,-0.888,-3.088
26400,-0.888,-3.088
26600,-0.888,-3.088
26800,-0.968,-3.088
27000,-1.048,-3.127
27200,-1.167,-3.127
27400,-1.287,-3.127
27600,-1.287,-3.127
27800,-1.287,-3.127
28000,-1.287,-3.127
28200,-1.287,-3.127
28400,-1.287,-3.127
28600,-1.287,-3.127
28800,-1.287,-3.127
29000,-1.287,-3.127
29200,-1.287,-3.127
29400,-1.287,-3.127
29600,-1.287,-3.127
29800,-1.287,-3.127
30000,-1.287,-3.127
30200,-1.287,-3.127
30400,-1.287,-3.127
30600,-1.367,-3.127
30800,-1.367,-3.127
31000,-1.367,-3.127
31200,-1.367,-3.127
31400,-1.406,-3.127
31600,-1.406,-3.127
31800,-1.406,-3.127
32000,-1.406,-3.127
32200,-1.406,-3.127
32400,-1.406,-3.127
32600,-1.406,-3.127
32800,-1.406,-3.127
33000,-1.566,-3.048
33200,-1.566,-3.048
33400,-1.566,-3.048
33600,-1.566,-3.048
33800,-1.566,-3.048
34000,-1.566,-3.008
34200,-1.566,-3.008
34400,-1.765,-2.888
34600,-1.765,-2.888
34800,-1.765,-2.888
35000,-1.845,-2.809
35200,-1.845,-2.809
35400,-1.845,-2.809
35600,-1.845,-2.809
35800,-1.845,-2.809
36000,-1.845,-2.809
36200,-1.845,-2.809
36400,-1.845,-2.809
36600,-1.845,-2.809
36800,-1.845,-2.809
37000,-1.845,-2.809
37200,-1.845,-2.809
37400,-1.845,-2.809
37600,-1.845,-2.809
37800,-1.845,-2.809
38000,-1.845,-2.809
38200,-1.845,-2.809
38400,-1.845,-2.809
38600,-1.845,-2.809
38800,-1.845,-2.809
39000,-1.845,-2.769
39200,-1.685,-2.729
39400,-1.526,-2.649
39600,-1.287,-2.410
39800,-1.287,-2.331
40000,-1.127,-2.211
40200,-1.048,-2.131
40400,-1.048,-2.131
40600,-1.048,-2.131
40800,-0.410,-1.853
41000,-0.131,-1.693
41200,0.147,-1.534
41400,0.147,-1.534
41600,0.147,-1.534
41800,0.147,-1.534
42000,0.147,-1.534
42200,0.307,-1.653
42400,0.506,-1.853
42600,0.506,-1.853
42800,0.506,-1.853
43000,0.506,-1.853
43200,0.506,-1.853
43400,0.506,-1.853
43600,0.506,-1.853
43800,0.506,-1.853
44000,0.506,-1.853
44200,0.546,-1.932
44400,0.466,-2.211
44600,0.426,-2.251
44800,0.426,-2.251
45000,0.426,-2.251
45200,0.307,-2.410
45400,0.187,-2.490
45600,0.187,-2.490
45800,0.187,-2.490
46000,0.187,-2.490
46200,0.187,-2.490
46400,0.147,-2.570
46600,0.147,-2.570
46800,0.068,-2.610
47000,0.068,-2.610
47200,-0.131,-2.729
47400,-0.371,-3.008
47600,-0.371,-3.008
47800,-0.490,-3.088
48000,-0.570,-3.167
48200,-0.570,-3.167
48400,-0.570,-3.167
