Start,End,Label
0,12000,Monkeys getting wet in the rain
12000,17000,Two monkeys in the rain
17000,29000,Two monkeys in a cage
29000,42000,Someone buying and selling monkeys
42000,46000,Monkeys in a cage looking at humans
46000,56000,A locked/chained baby monkey
56000,62000,The baby monkey moving
62000,68000,A baby monkey among a group of adult monkeys
68000,79000,The baby monkey walking around
79000,88000,An adult monkey holding a baby monkey
88000,101000,There are four monkeys
101000,114000,The baby monkey climbing tree branches
114000,121000,Being held in the arms of an adult monkey
121000,137000,Humans making the monkey climb trees
137000,149000,Monkeys picking coconuts
149000,173000,Coconuts picked by the monkey falling to the ground
173000,184000,The monkey climbing down the tree
184000,195000,The monkey transporting coconuts
195000,206000,猴子搬椰子到树荫底下
206000,219000,猴子喝白色的水
219000,238000,猴子在野外
238000,247000,一个猴子翻垃圾桶
247000,262000,更多的猴子来了
262000,282000,猴子们一起吃垃圾
282000,300000,猴子找到新的桶但是打不开
300000,320000,猴子找到了打开桶的方法
320000,337000,猴子拉线吃毛毛虫
