Calibration_Accuracy,64
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
0,431,374,true,false,false,false
0,412,332,true,false,false,false
0,389,303,true,false,false,false
0,402,302,true,false,false,false
0,413,273,true,false,false,false
0,437,272,true,false,false,false
0,398,258,true,false,false,false
0,400,259,true,false,false,false
0,375,231,true,false,false,false
0,328,233,true,false,false,false
0,320,225,true,false,false,false
0,332,217,true,false,false,false
0,317,211,true,false,false,false
0,306,240,true,false,false,false
0,279,250,true,false,false,false
0,227,261,true,false,false,false
0,228,253,true,false,false,false
0,246,233,true,false,false,false
0,203,246,true,false,false,false
0,181,284,true,false,false,false
0,166,272,true,false,false,false
0,133,278,true,false,false,false
0,120,296,true,false,false,false
0,99,287,true,false,false,false
0,106,294,true,false,false,false
0,102,301,true,false,false,false
0,104,328,true,false,false,false
0,96,338,true,false,false,false
0,152,332,true,false,false,false
0,173,330,true,false,false,false
0,167,347,true,false,false,false
0,194,330,true,false,false,false
0,187,304,true,false,false,false
0,212,271,true,false,false,false
0,282,237,true,false,false,false
0,348,222,true,false,false,false
0,567,211,true,false,false,false
69,600,207,true,false,false,false
105,522,247,true,false,false,false
132,388,310,true,false,false,false
160,306,322,true,false,false,false
185,191,333,true,false,false,false
213,135,364,true,false,false,false
239,50,368,true,false,false,false
263,-7,388,false,false,false,true
290,-60,383,false,false,false,true
321,-94,418,false,false,false,true
348,-31,389,false,false,false,true
374,28,362,false,false,false,true
400,115,367,true,false,false,false
429,233,378,true,false,false,false
458,312,388,true,false,false,false
486,418,374,true,false,false,false
521,524,356,true,false,false,false
553,617,338,true,false,false,false
580,679,318,true,false,false,false
608,698,300,true,false,false,false
636,708,286,true,false,false,false
662,686,272,true,false,false,false
689,644,313,true,false,false,false
713,569,322,true,false,false,false
739,490,337,true,false,false,false
766,452,394,true,false,false,false
809,335,445,true,false,false,false
834,262,482,true,false,false,false
861,181,546,false,false,true,false
887,119,586,false,false,true,false
913,82,585,false,false,true,false
940,42,623,false,false,true,false
966,29,625,false,false,false,true
992,48,609,false,false,true,false
1018,16,608,false,false,false,true
1044,-7,581,false,false,false,true
1069,45,538,false,false,true,false
1095,84,487,true,false,false,false
1120,137,458,true,false,false,false
1146,227,407,true,false,false,false
1171,261,372,true,false,false,false
1199,301,348,true,false,false,false
1229,336,322,true,false,false,false
1256,419,291,true,false,false,false
1280,394,266,true,false,false,false
1305,419,253,true,false,false,false
1328,446,264,true,false,false,false
1354,525,269,true,false,false,false
1379,567,264,true,false,false,false
1403,616,258,true,false,false,false
1428,623,265,true,false,false,false
1454,640,255,true,false,false,false
1480,642,246,true,false,false,false
1506,636,221,true,false,false,false
1531,579,194,true,false,false,false
1556,546,215,true,false,false,false
1582,544,213,true,false,false,false
1607,520,222,true,false,false,false
1631,548,242,true,false,false,false
1658,564,250,true,false,false,false
1685,556,276,true,false,false,false
1711,523,300,true,false,false,false
1737,516,320,true,false,false,false
1763,538,348,true,false,false,false
1789,586,349,true,false,false,false
1814,545,360,true,false,false,false
1840,560,357,true,false,false,false
1866,580,350,true,false,false,false
1893,616,368,true,false,false,false
1918,605,374,true,false,false,false
1944,588,372,true,false,false,false
1968,580,362,true,false,false,false
1993,563,341,true,false,false,false
2019,585,313,true,false,false,false
2045,608,337,true,false,false,false
2072,578,428,true,false,false,false
2097,575,486,true,false,false,false
2122,555,574,false,false,true,false
2149,496,574,false,false,true,false
2174,587,531,false,false,true,false
2200,575,469,true,false,false,false
2227,589,421,true,false,false,false
2253,625,397,true,false,false,false
2281,678,380,true,false,false,false
2307,694,354,true,false,false,false
2334,672,323,true,false,false,false
2362,686,300,true,false,false,false
2387,707,271,true,false,false,false
2415,719,256,true,false,false,false
2440,685,235,true,false,false,false
2466,643,223,true,false,false,false
2493,585,217,true,false,false,false
2518,596,219,true,false,false,false
2544,616,214,true,false,false,false
2571,635,218,true,false,false,false
2596,686,245,true,false,false,false
2621,680,238,true,false,false,false
2647,687,239,true,false,false,false
2676,692,252,true,false,false,false
2701,724,254,true,false,false,false
2726,733,271,true,false,false,false
2754,768,283,true,false,false,false
2780,787,277,true,false,false,false
2804,764,285,true,false,false,false
2831,769,286,true,false,false,false
2857,560,333,true,false,false,false
2881,405,379,true,false,false,false
2908,271,432,true,false,false,false
2936,139,477,true,false,false,false
2964,15,507,false,false,false,true
2991,-58,527,false,false,false,true
3015,-157,534,false,false,false,true
3041,-173,526,false,false,false,true
3066,-215,544,false,false,false,true
3093,-191,563,false,false,false,true
3119,-72,579,false,false,false,true
3143,44,592,false,false,true,false
3170,139,607,false,false,true,false
3197,240,628,false,false,true,false
3225,392,561,false,false,true,false
3251,561,487,true,false,false,false
3278,696,433,true,false,false,false
3304,843,384,true,false,false,false
3329,957,356,true,false,false,false
3355,1026,318,true,false,false,false
3380,1048,304,true,false,false,false
3407,1006,289,true,false,false,false
3433,1004,299,true,false,false,false
3458,1005,304,true,false,false,false
3483,1013,311,true,false,false,false
3509,962,310,true,false,false,false
3534,906,308,true,false,false,false
3561,867,287,true,false,false,false
3589,868,259,true,false,false,false
3616,891,258,true,false,false,false
3640,871,252,true,false,false,false
3668,853,254,true,false,false,false
3693,869,298,true,false,false,false
3717,809,303,true,false,false,false
3742,792,320,true,false,false,false
3768,736,318,true,false,false,false
3792,714,323,true,false,false,false
3817,693,308,true,false,false,false
3843,689,293,true,false,false,false
3873,687,280,true,false,false,false
3899,649,291,true,false,false,false
3924,685,301,true,false,false,false
3949,686,287,true,false,false,false
3974,672,282,true,false,false,false
3999,638,285,true,false,false,false
4025,631,284,true,false,false,false
4050,667,280,true,false,false,false
4075,683,295,true,false,false,false
4099,703,312,true,false,false,false
4124,720,316,true,false,false,false
4151,739,320,true,false,false,false
4176,761,320,true,false,false,false
4202,785,328,true,false,false,false
4227,759,303,true,false,false,false
4251,763,345,true,false,false,false
