ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.000,0.000
2800,0.000,0.000
3000,0.000,0.000
3200,0.000,0.000
3400,0.000,0.000
3600,0.000,0.000
3800,0.000,0.000
4000,0.000,0.000
4200,0.000,0.000
4400,0.000,0.000
4600,0.000,0.000
4800,0.000,0.000
5000,0.000,0.000
5200,0.000,0.000
5400,0.000,0.000
5600,0.000,0.000
5800,0.000,0.000
6000,0.000,0.000
6200,0.000,0.000
6400,0.000,0.000
6600,0.000,0.000
6800,0.000,0.000
7000,0.000,0.000
7200,0.000,0.000
7400,0.000,0.000
7600,0.000,0.000
7800,0.000,0.000
8000,0.000,0.000
8200,0.000,0.000
8400,0.000,0.000
8600,0.000,0.000
8800,0.000,0.000
9000,0.000,0.000
9200,0.000,0.000
9400,0.000,0.000
9600,0.000,0.000
9800,0.000,0.000
10000,0.000,0.000
10200,0.000,0.000
10400,0.000,0.000
10600,0.000,0.000
10800,0.000,0.000
11000,0.000,0.000
11200,0.000,0.000
11400,0.000,0.000
11600,0.000,0.000
11800,0.000,0.000
12000,0.000,0.000
12200,0.000,0.000
12400,0.000,0.000
12600,0.000,0.000
12800,0.000,0.000
13000,0.000,0.000
13200,0.000,0.000
13400,0.000,0.000
13600,0.000,0.000
13800,0.000,0.000
14000,0.000,0.000
14200,0.000,0.000
14400,0.000,0.000
14600,0.000,0.000
14800,0.000,0.000
15000,0.000,0.000
15200,0.000,0.000
15400,0.000,0.000
15600,0.000,0.000
15800,0.000,0.000
16000,0.000,0.000
16200,0.000,0.000
16400,0.000,0.000
16600,0.000,0.000
16800,0.000,0.000
17000,0.000,0.000
17200,0.000,0.000
17400,0.000,0.000
17600,0.000,0.000
17800,0.000,0.000
18000,0.028,-0.020
18200,0.028,-0.020
18400,-0.490,-0.020
18600,-0.928,-0.179
18800,-1.088,-0.259
19000,-1.446,-0.139
19200,-2.084,-0.259
19400,-2.243,-0.299
19600,-2.402,-0.259
19800,-2.522,-0.219
20000,-2.562,-0.179
20200,-2.681,-0.179
20400,-2.960,-0.259
20600,-3.199,-0.299
20800,-3.319,-0.299
21000,-3.319,-0.299
21200,-3.558,-0.458
21400,-3.677,-0.578
21600,-3.677,-0.578
21800,-3.677,-0.578
22000,-3.996,-0.538
22200,-4.155,-0.498
22400,-4.235,-0.458
22600,-4.315,-0.418
22800,-4.315,-0.418
23000,-4.355,-0.378
23200,-4.474,-0.259
23400,-4.474,-0.259
23600,-4.633,-0.139
23800,-4.633,-0.139
24000,-4.633,-0.139
24200,-4.633,-0.139
24400,-4.633,-0.139
24600,-4.633,-0.139
24800,-4.633,-0.139
25000,-4.633,-0.139
25200,-4.633,-0.139
25400,-4.633,-0.139
25600,-4.633,-0.139
25800,-4.633,-0.139
26000,-4.633,-0.139
26200,-4.633,-0.139
26400,-4.633,-0.139
26600,-4.633,-0.139
26800,-4.633,-0.139
27000,-4.633,-0.139
27200,-4.633,-0.139
27400,-4.633,-0.139
27600,-4.633,-0.139
27800,-4.633,-0.139
28000,-4.633,-0.139
28200,-4.633,-0.139
28400,-4.633,-0.139
28600,-4.633,-0.139
28800,-4.633,-0.139
29000,-4.633,-0.139
29200,-4.633,-0.139
29400,-4.633,-0.139
29600,-4.633,-0.139
29800,-4.633,-0.139
30000,-4.633,-0.139
30200,-4.633,-0.139
30400,-4.633,-0.139
30600,-4.633,-0.139
30800,-4.633,-0.139
31000,-4.633,-0.139
31200,-4.633,-0.139
31400,-4.633,-0.139
31600,-4.633,-0.139
31800,-4.633,-0.139
32000,-4.633,-0.139
32200,-4.633,-0.139
32400,-4.633,-0.139
32600,-4.633,-0.139
32800,-4.633,-0.139
33000,-4.633,-0.139
33200,-4.633,-0.139
33400,-4.633,-0.139
33600,-4.633,-0.139
33800,-4.633,-0.139
34000,-4.633,-0.139
34200,-4.633,-0.139
34400,-4.633,-0.139
34600,-4.633,-0.139
34800,-4.633,-0.139
35000,-4.633,-0.139
35200,-4.633,-0.139
35400,-4.633,-0.139
35600,-4.633,-0.139
35800,-4.633,-0.139
36000,-4.633,-0.139
36200,-4.633,-0.139
36400,-4.633,-0.139
36600,-4.633,-0.139
36800,-4.633,-0.139
37000,-4.633,-0.139
37200,-4.633,-0.139
37400,-4.633,-0.139
37600,-4.633,-0.139
37800,-4.633,-0.139
38000,-4.633,-0.139
38200,-4.633,-0.139
38400,-4.633,-0.139
38600,-4.633,-0.139
38800,-4.633,-0.139
39000,-4.633,-0.139
39200,-4.633,-0.139
39400,-4.633,-0.139
39600,-4.633,-0.139
39800,-4.633,-0.139
40000,-4.633,-0.139
40200,-4.633,-0.139
40400,-4.633,-0.139
40600,-4.633,-0.139
40800,-4.633,-0.139
41000,-4.633,-0.139
41200,-4.633,-0.139
41400,-4.633,-0.139
41600,-4.633,-0.139
41800,-4.633,-0.139
42000,-4.633,-0.139
42200,-4.633,-0.139
42400,-4.633,-0.139
42600,-4.633,-0.139
42800,-4.633,-0.139
43000,-4.633,-0.139
43200,-4.633,-0.139
43400,-4.633,-0.139
43600,-4.633,-0.139
43800,-4.633,-0.139
44000,-4.633,-0.139
44200,-4.633,-0.139
44400,-4.633,-0.139
44600,-4.633,-0.139
44800,-4.633,-0.139
45000,-4.633,-0.139
45200,-4.633,-0.139
45400,-4.633,-0.139
45600,-4.633,-0.139
45800,-4.633,-0.139
46000,-4.633,-0.139
46200,-4.633,-0.139
46400,-4.633,-0.139
46600,-4.633,-0.139
46800,-4.633,-0.139
47000,-4.633,-0.139
47200,-4.633,-0.139
47400,-4.633,-0.139
47600,-4.633,-0.139
47800,-4.633,-0.139
48000,-4.633,-0.139
48200,-4.633,-0.139
48400,-4.633,-0.139
48600,-4.633,-0.139
48800,-4.633,-0.139
49000,-4.633,-0.139
