Start,End,Label
0,12000,雨中淋雨的猴子
12000,17000,两只猴子下雨
17000,29000,笼子中的两个猴子
29000,42000,有人买卖猴子
42000,46000,笼中猴看人
46000,56000,被锁的小猴子
56000,62000,小猴子在动
62000,68000,小猴子在一群大猴子里
68000,79000,小猴子走来走去
79000,88000,大猴子抱着小猴子
88000,101000,有四只猴子
101000,114000,小猴子爬树枝
114000,121000,被大猴子抱在怀里
121000,137000,人让猴子爬树
137000,149000,猴子摘椰子
149000,173000,猴子摘椰子掉落到地面
173000,184000,猴子爬下树
184000,195000,猴子搬运椰子
195000,206000,猴子搬椰子到树荫底下
206000,219000,猴子喝白色的水
219000,238000,猴子在野外
238000,247000,一个猴子翻垃圾桶
247000,262000,更多的猴子来了
262000,282000,猴子们一起吃垃圾
282000,300000,猴子找到新的桶但是打不开
300000,320000,猴子找到了打开桶的方法
320000,337000,猴子拉线吃毛毛虫
