Calibration_Accuracy,76
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
57,514,491,false,false,true,false
113,537,477,false,false,true,false
216,546,446,false,false,true,false
276,551,408,true,false,false,false
351,578,371,true,false,false,false
416,619,306,true,false,false,false
483,682,304,true,false,false,false
546,775,272,true,false,false,false
610,882,252,true,false,false,false
671,1178,282,true,false,false,false
734,1337,289,false,true,false,false
793,1491,303,false,false,false,true
863,1559,314,false,false,false,true
918,1548,323,false,false,false,true
975,1616,291,false,false,false,true
1029,1601,269,false,false,false,true
1082,1617,283,false,false,false,true
1138,1608,269,false,false,false,true
1195,1573,253,false,false,false,true
1244,1586,243,false,false,false,true
1290,1574,251,false,false,false,true
1343,1547,228,false,false,false,true
1397,1511,226,false,false,false,true
1451,1502,216,false,false,false,true
1503,1495,225,false,false,false,true
1555,1471,236,false,true,false,false
1604,1452,247,false,true,false,false
1646,1431,265,false,true,false,false
1695,1390,242,false,true,false,false
1736,1382,211,false,true,false,false
1787,1359,199,false,true,false,false
1839,1349,208,false,true,false,false
1890,1346,222,false,true,false,false
1941,1324,226,false,true,false,false
1995,1310,229,false,true,false,false
2037,1306,236,false,true,false,false
2091,1284,238,false,true,false,false
2167,1293,226,false,true,false,false
2224,1235,254,false,true,false,false
2277,1234,272,false,true,false,false
2330,1215,265,false,false,false,true
2388,1233,281,false,false,false,true
2437,1237,285,false,true,false,false
2498,1240,289,false,true,false,false
2551,1272,297,false,true,false,false
2603,1304,304,false,true,false,false
2652,1314,310,false,true,false,false
2695,1342,332,false,true,false,false
2745,1397,356,false,true,false,false
2796,1406,334,false,true,false,false
2846,1425,305,false,true,false,false
2896,1439,272,false,true,false,false
2937,1449,245,false,true,false,false
2990,1451,242,false,true,false,false
3041,1449,246,false,true,false,false
3093,1434,241,false,true,false,false
3145,1415,210,false,true,false,false
3197,1400,187,false,true,false,false
3246,1395,174,false,true,false,false
3290,1379,180,false,true,false,false
3338,1364,189,false,true,false,false
3381,1327,192,false,true,false,false
3430,1287,191,false,true,false,false
3479,1265,195,false,true,false,false
3522,1256,206,false,true,false,false
3572,1295,219,false,true,false,false
3613,1297,215,false,true,false,false
3665,1225,202,false,false,false,true
3718,1198,194,false,false,false,true
3767,1234,155,false,true,false,false
3822,1233,157,false,false,false,true
3878,1229,160,false,false,false,true
3929,1245,147,false,true,false,false
3978,1275,198,false,true,false,false
4021,1278,251,false,true,false,false
4074,1295,260,false,true,false,false
4123,1305,253,false,true,false,false
4168,1325,242,false,true,false,false
4227,1357,274,false,true,false,false
4275,1374,292,false,true,false,false
4316,1395,297,false,true,false,false
4358,1416,306,false,true,false,false
4407,1426,310,false,true,false,false
4447,1425,296,false,true,false,false
4492,1419,290,false,true,false,false
4533,1409,285,false,true,false,false
4578,1408,314,false,true,false,false
4627,1411,296,false,true,false,false
4664,1413,278,false,true,false,false
4710,1413,256,false,true,false,false
4754,1387,290,false,true,false,false
4797,1205,315,false,false,false,true
4851,1057,354,true,false,false,false
4892,917,361,true,false,false,false
4943,942,426,false,false,false,true
4981,863,497,false,false,true,false
5021,843,569,false,false,true,false
5063,717,579,false,false,true,false
5106,621,592,false,false,true,false
5153,559,599,false,false,true,false
5196,359,593,false,false,true,false
5238,193,557,false,false,true,false
5280,85,531,false,false,true,false
5321,-37,524,false,false,false,true
5376,-114,520,false,false,false,true
5417,-147,509,false,false,false,true
5460,-141,484,false,false,false,true
5502,-39,475,false,false,false,true
5542,85,445,false,false,true,false
5585,244,433,false,false,true,false
5623,377,430,false,false,false,true
5666,497,438,false,false,true,false
5710,582,429,false,false,false,true
5749,662,404,true,false,false,false
5796,726,413,true,false,false,false
5836,824,430,false,false,false,true
5874,966,477,false,false,true,false
5918,1068,495,false,false,true,false
5958,1101,554,false,false,true,false
5999,1083,606,false,false,true,false
6040,1039,639,false,false,true,false
6082,989,604,false,false,true,false
6123,1020,551,false,false,true,false
6163,1002,539,false,false,true,false
6205,981,516,false,false,true,false
