Calibration_Accuracy,88
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
40,771,297,true,false,false,false
87,766,275,true,false,false,false
132,745,281,true,false,false,false
185,739,297,true,false,false,false
226,746,297,true,false,false,false
267,735,305,true,false,false,false
315,730,317,true,false,false,false
363,718,323,true,false,false,false
412,705,345,true,false,false,false
464,735,357,true,false,false,false
504,749,346,true,false,false,false
540,776,343,true,false,false,false
585,762,331,true,false,false,false
623,768,341,true,false,false,false
668,776,355,true,false,false,false
704,773,354,true,false,false,false
747,782,380,true,false,false,false
785,796,400,true,false,false,false
831,828,380,true,false,false,false
869,852,393,true,false,false,false
914,853,400,true,false,false,false
953,830,400,true,false,false,false
1000,848,395,true,false,false,false
1039,894,462,true,false,false,false
1124,872,487,true,false,false,false
1166,865,498,false,false,false,true
1206,891,521,false,false,true,false
1246,930,521,false,false,true,false
1290,968,503,false,false,false,true
1330,992,538,false,false,true,false
1371,1032,504,false,false,false,true
1417,1006,436,true,false,false,false
1457,962,438,true,false,false,false
1496,915,456,true,false,false,false
1532,902,461,true,false,false,false
1570,875,459,true,false,false,false
1608,865,446,true,false,false,false
1649,841,412,true,false,false,false
1686,858,404,true,false,false,false
1723,889,434,true,false,false,false
1758,887,417,true,false,false,false
1795,894,385,true,false,false,false
1830,897,373,true,false,false,false
1867,897,347,true,false,false,false
1910,952,364,true,false,false,false
1947,1017,374,true,false,false,false
1994,984,404,true,false,false,false
2031,982,455,true,false,false,false
2073,987,415,true,false,false,false
2110,939,387,true,false,false,false
2153,918,386,true,false,false,false
2190,938,398,true,false,false,false
2232,952,410,true,false,false,false
2269,944,419,true,false,false,false
2308,937,431,true,false,false,false
2354,940,404,true,false,false,false
2389,937,370,true,false,false,false
2430,938,363,true,false,false,false
2465,940,372,true,false,false,false
2510,922,383,true,false,false,false
2547,934,363,true,false,false,false
2593,907,384,true,false,false,false
2631,863,401,true,false,false,false
2678,829,396,true,false,false,false
2717,800,368,true,false,false,false
2761,829,388,true,false,false,false
2798,828,379,true,false,false,false
2839,801,369,true,false,false,false
2876,785,366,true,false,false,false
2916,794,386,true,false,false,false
2954,812,397,true,false,false,false
3003,804,385,true,false,false,false
3040,819,410,true,false,false,false
3088,828,407,true,false,false,false
3124,825,395,true,false,false,false
3168,851,404,true,false,false,false
3204,885,392,true,false,false,false
3240,933,411,true,false,false,false
3279,965,426,true,false,false,false
3323,956,405,true,false,false,false
3360,956,401,true,false,false,false
3405,944,390,true,false,false,false
3442,944,398,true,false,false,false
3486,935,405,true,false,false,false
3524,925,413,true,false,false,false
3570,871,394,true,false,false,false
3607,819,379,true,false,false,false
3644,782,373,true,false,false,false
3680,765,363,true,false,false,false
3721,757,350,true,false,false,false
3760,748,346,true,false,false,false
3799,750,346,true,false,false,false
3834,745,343,true,false,false,false
3873,743,362,true,false,false,false
3909,739,332,true,false,false,false
3945,755,340,true,false,false,false
3980,776,338,true,false,false,false
4015,790,334,true,false,false,false
4054,804,325,true,false,false,false
4091,817,314,true,false,false,false
4126,832,311,true,false,false,false
4161,843,318,true,false,false,false
4197,837,309,true,false,false,false
4236,844,304,true,false,false,false
4270,842,291,true,false,false,false
4307,846,294,true,false,false,false
4341,831,304,true,false,false,false
4378,831,318,true,false,false,false
4413,811,348,true,false,false,false
4449,785,347,true,false,false,false
4488,772,357,true,false,false,false
4526,861,364,true,false,false,false
4560,883,345,true,false,false,false
4594,943,343,true,false,false,false
4629,971,324,true,false,false,false
4664,1016,336,true,false,false,false
4700,1055,341,true,false,false,false
4735,1048,332,true,false,false,false
4768,1048,336,true,false,false,false
4808,994,329,true,false,false,false
4843,937,345,true,false,false,false
4876,884,356,true,false,false,false
4910,833,364,true,false,false,false
4945,790,378,true,false,false,false
4981,791,436,true,false,false,false
5014,849,501,false,false,false,true
5052,883,547,false,false,true,false
5085,922,591,false,false,true,false
5120,921,603,false,false,true,false
5157,924,609,false,false,true,false
5195,921,631,false,false,true,false
5229,865,605,false,false,true,false
5262,829,608,false,false,true,false
5295,785,597,false,false,true,false
