ms,Valence,Arousal
200,0.000,0.000
400,0.000,0.000
600,0.000,0.000
800,0.000,0.000
1000,0.000,0.000
1200,0.000,0.000
1400,0.000,0.000
1600,0.000,0.000
1800,0.000,0.000
2000,0.000,0.000
2200,0.000,0.000
2400,0.000,0.000
2600,0.000,0.000
2800,0.000,0.000
3000,0.000,0.000
3200,0.000,0.000
3400,0.000,0.000
3600,0.000,0.000
3800,0.000,0.000
4000,0.000,0.000
4200,0.000,0.000
4400,0.000,0.000
4600,0.000,0.000
4800,0.000,0.000
5000,0.000,0.000
5200,0.000,0.000
5400,0.000,0.000
5600,0.000,0.000
5800,0.000,0.000
6000,0.000,0.000
6200,0.000,0.000
6400,0.000,0.000
6600,0.000,0.000
6800,1.464,2.292
7000,1.760,2.465
7200,1.760,2.465
7400,1.612,1.947
7600,1.291,1.675
7800,1.267,1.650
8000,1.094,1.305
8200,1.020,1.107
8400,0.798,0.663
8600,0.625,0.391
8800,0.081,0.095
9000,0.081,0.095
9200,0.081,0.095
9400,0.205,0.218
9600,0.427,0.416
9800,0.674,0.539
10000,1.020,0.564
10200,1.267,0.687
10400,1.440,0.836
10600,1.612,1.157
10800,1.612,1.231
11000,1.612,1.404
11200,1.612,1.404
11400,1.588,1.527
11600,1.588,1.552
11800,1.538,1.799
12000,1.538,1.823
12200,1.538,1.823
12400,1.538,1.823
12600,1.538,1.823
12800,1.538,1.823
13000,1.538,1.823
13200,1.538,1.823
13400,1.538,1.823
13600,1.538,1.823
13800,1.538,1.823
14000,1.538,1.823
14200,1.538,1.823
14400,1.538,1.823
14600,1.538,1.823
14800,1.538,1.823
15000,1.538,1.823
15200,1.538,1.823
15400,1.538,1.823
15600,1.538,1.823
15800,1.538,1.823
16000,1.538,1.823
16200,1.538,1.823
16400,1.538,1.823
16600,1.538,1.823
16800,1.538,1.823
17000,1.538,1.823
17200,1.538,1.823
17400,1.538,1.823
17600,1.538,1.823
17800,1.538,1.823
18000,1.538,1.823
18200,1.538,1.823
18400,1.538,1.823
18600,1.538,1.823
18800,1.538,1.823
19000,1.538,1.823
19200,1.538,1.823
19400,1.538,1.823
19600,1.538,1.823
19800,1.538,1.823
20000,1.538,1.823
20200,1.538,1.823
20400,1.538,1.823
20600,1.538,1.823
20800,1.538,1.823
21000,1.538,1.823
21200,1.538,1.823
21400,1.538,1.823
21600,1.538,1.823
21800,1.538,1.823
22000,1.538,1.823
22200,1.538,1.823
22400,1.538,1.823
22600,1.538,1.823
22800,1.538,1.823
23000,1.538,1.823
23200,1.538,1.823
23400,1.538,1.823
23600,1.538,1.823
23800,1.538,1.823
24000,1.538,1.823
24200,1.538,1.823
24400,1.538,1.823
24600,1.538,1.823
24800,1.538,1.823
25000,1.538,1.823
25200,1.538,1.823
25400,1.538,1.823
25600,1.538,1.823
25800,1.538,1.823
26000,1.538,1.823
26200,1.538,1.823
26400,1.538,1.823
26600,1.538,1.823
26800,1.538,1.823
27000,1.538,1.823
27200,1.538,1.823
27400,1.538,1.823
27600,1.538,1.823
27800,1.538,1.823
28000,1.538,1.823
28200,1.538,1.823
28400,1.538,1.823
28600,1.538,1.823
28800,1.538,1.823
29000,1.538,1.823
29200,1.538,1.823
29400,1.538,1.823
29600,1.538,1.823
29800,1.538,1.823
30000,1.538,1.823
30200,1.538,1.823
30400,1.538,1.823
30600,1.538,1.823
30800,1.538,1.823
31000,1.464,1.725
31200,1.440,1.650
31400,1.440,1.650
31600,1.440,1.601
31800,1.415,1.527
32000,1.415,1.527
32200,1.415,1.527
32400,1.415,1.527
32600,1.415,1.527
32800,1.415,1.601
33000,1.415,1.601
33200,1.415,1.601
33400,1.415,1.601
33600,1.415,1.601
33800,1.415,1.601
34000,1.415,1.601
34200,1.415,1.601
34400,1.415,1.601
34600,1.415,1.601
34800,1.415,1.601
35000,1.415,1.576
35200,1.365,1.527
35400,1.316,1.502
35600,1.291,1.453
35800,1.291,1.453
36000,0.995,1.132
36200,0.921,0.984
36400,0.921,0.984
36600,0.921,0.984
36800,0.798,0.860
37000,0.773,0.860
37200,0.773,0.860
37400,0.773,0.860
37600,0.205,0.564
37800,-0.412,0.046
38000,-0.758,-0.201
38200,-0.857,-0.275
38400,-0.980,-0.350
38600,-1.351,-0.794
38800,-1.598,-1.115
39000,-1.746,-1.140
39200,-2.017,-1.066
39400,-2.116,-1.238
39600,-2.240,-1.535
39800,-2.264,-1.683
40000,-2.314,-1.831
40200,-2.412,-2.029
40400,-2.412,-2.029
40600,-2.412,-2.029
40800,-2.412,-2.029
41000,-2.412,-2.029
41200,-2.412,-2.029
41400,-2.412,-2.029
41600,-2.412,-2.029
41800,-2.412,-2.029
42000,-2.412,-1.954
42200,-2.338,-1.732
42400,-2.338,-1.584
42600,-2.289,-1.387
42800,-2.289,-1.214
43000,-2.289,-1.090
43200,-2.289,-0.942
43400,-2.289,-0.399
43600,-2.289,-0.177
43800,-2.289,-0.177
44000,-2.240,-0.547
44200,-2.190,-0.992
44400,-2.165,-1.090
44600,-2.116,-1.164
44800,-1.844,-0.794
45000,-1.820,-0.769
45200,-1.746,-0.917
45400,-1.721,-1.140
45600,-1.721,-1.313
45800,-1.721,-1.387
46000,-1.721,-1.387
46200,-1.696,-1.387
46400,-1.647,-1.387
46600,-1.573,-1.313
46800,-1.548,-1.288
47000,-1.548,-1.288
47200,-1.548,-1.288
47400,-1.548,-1.288
47600,-1.548,-1.288
47800,-1.548,-1.288
48000,-1.548,-1.288
48200,-1.548,-1.288
48400,-1.548,-1.288
48600,-1.548,-1.288
48800,-1.548,-1.288
49000,-1.548,-1.288
49200,-1.548,-1.288
49400,-1.548,-1.288
49600,-1.351,-1.140
49800,-0.931,-0.868
50000,-0.536,-0.671
50200,-0.314,-0.498
50400,-0.215,-0.424
50600,-0.165,-0.275
50800,-0.165,-0.226
51000,-0.091,-0.103
51200,-0.067,-0.053
51400,-0.067,-0.053
51600,-0.017,0.021
51800,0.032,0.046
52000,0.032,0.046
52200,0.032,0.046
