Calibration_Accuracy,67
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
0,460,398,true,false,false,false
0,456,394,true,false,false,false
0,470,405,true,false,false,false
0,463,399,true,false,false,false
0,456,381,true,false,false,false
0,448,387,true,false,false,false
0,442,392,true,false,false,false
0,455,404,true,false,false,false
0,455,383,true,false,false,false
0,458,379,true,false,false,false
0,468,393,true,false,false,false
0,500,398,true,false,false,false
0,514,420,true,false,false,false
0,521,433,true,false,false,false
1,611,396,true,false,false,false
19,645,365,true,false,false,false
23,731,290,true,false,false,false
43,801,227,true,false,false,false
68,857,181,true,false,false,false
88,951,141,true,false,false,false
114,1052,96,true,false,false,false
145,1088,95,true,false,false,false
183,1108,42,false,false,false,true
221,1110,38,false,false,false,true
257,1145,2,false,false,false,true
294,1112,-13,false,false,false,true
328,1088,-19,false,false,false,true
366,1018,61,false,false,false,true
400,992,159,true,false,false,false
457,902,239,true,false,false,false
528,788,301,true,false,false,false
566,646,333,true,false,false,false
596,614,343,true,false,false,false
627,597,344,true,false,false,false
656,601,322,true,false,false,false
685,572,360,true,false,false,false
722,575,388,true,false,false,false
757,586,383,true,false,false,false
790,571,412,true,false,false,false
841,467,382,true,false,false,false
889,399,464,true,false,false,false
925,369,422,true,false,false,false
956,352,404,true,false,false,false
985,298,393,true,false,false,false
1012,241,393,true,false,false,false
1039,147,388,true,false,false,false
1069,79,398,true,false,false,false
1100,34,390,true,false,false,false
1129,-18,408,false,false,false,true
1167,-56,422,false,false,false,true
1201,-66,440,false,false,false,true
1247,-36,414,false,false,false,true
1292,-39,458,false,false,false,true
1326,-19,530,false,false,false,true
1358,-8,538,false,false,false,true
1384,14,571,false,false,false,true
1417,27,613,false,false,false,true
1451,84,641,false,false,true,false
1490,53,640,false,false,true,false
1525,118,649,false,false,true,false
1566,223,599,false,false,true,false
1609,323,588,false,false,true,false
1648,381,605,false,false,true,false
1681,382,612,false,false,true,false
1714,367,581,false,false,true,false
1749,430,528,false,false,true,false
1779,525,496,false,false,false,true
1817,663,472,true,false,false,false
1851,806,412,true,false,false,false
1884,867,408,true,false,false,false
1912,947,383,true,false,false,false
1944,1010,390,true,false,false,false
1970,1054,410,true,false,false,false
1999,1004,430,true,false,false,false
2026,992,406,true,false,false,false
2057,874,499,false,false,false,true
2086,820,571,false,false,true,false
2126,732,508,false,false,false,true
2170,805,524,false,false,true,false
2220,783,510,false,false,false,true
2269,825,499,false,false,false,true
2303,822,427,true,false,false,false
2332,851,445,true,false,false,false
2360,868,454,true,false,false,false
2388,899,497,false,false,false,true
2414,870,603,false,false,true,false
2439,839,645,false,false,true,false
2466,830,662,false,false,true,false
2491,881,710,false,false,false,true
2518,851,748,false,false,false,true
2546,833,771,false,false,false,true
2586,800,768,false,false,false,true
2631,800,798,false,false,false,true
2681,758,830,false,false,false,true
2720,767,840,false,false,false,true
2749,738,869,false,false,false,true
2776,685,894,false,false,false,true
2800,641,913,false,false,false,true
2827,672,730,false,false,false,true
2857,667,652,false,false,true,false
2885,662,522,false,false,true,false
2911,659,450,true,false,false,false
2939,639,378,true,false,false,false
2965,615,337,true,false,false,false
2986,601,305,true,false,false,false
3009,600,277,true,false,false,false
3033,597,271,true,false,false,false
3064,550,252,true,false,false,false
3111,619,282,true,false,false,false
3154,573,383,true,false,false,false
3187,504,415,true,false,false,false
3218,481,398,true,false,false,false
3247,524,307,true,false,false,false
3271,528,295,true,false,false,false
3295,570,324,true,false,false,false
3321,586,296,true,false,false,false
3347,570,218,true,false,false,false
3370,572,195,true,false,false,false
3394,580,207,true,false,false,false
3423,619,177,true,false,false,false
3456,639,167,true,false,false,false
3487,634,187,true,false,false,false
3516,644,200,true,false,false,false
3542,649,226,true,false,false,false
3570,650,231,true,false,false,false
3598,644,217,true,false,false,false
3641,665,229,true,false,false,false
3678,685,254,true,false,false,false
3714,602,349,true,false,false,false
3744,519,441,true,false,false,false
3770,570,523,false,false,true,false
3796,571,587,false,false,true,false
3818,522,663,false,false,true,false
3845,564,637,false,false,true,false
3872,601,610,false,false,true,false
3913,608,641,false,false,true,false
3947,650,680,false,false,true,false
3984,741,650,false,false,true,false
4018,828,643,false,false,true,false
4063,886,630,false,false,true,false
4095,925,581,false,false,true,false
4127,932,577,false,false,true,false
4156,936,569,false,false,true,false
4186,941,556,false,false,true,false
4218,935,539,false,false,true,false
4246,1006,521,false,false,true,false
4270,1035,538,false,false,true,false
4292,980,587,false,false,true,false
4319,928,602,false,false,true,false
4351,913,553,false,false,true,false
4401,837,545,false,false,true,false
4449,778,563,false,false,true,false
4493,747,503,false,false,false,true
4523,728,468,true,false,false,false
4558,688,403,true,false,false,false
4588,667,287,true,false,false,false
4619,664,324,true,false,false,false
4647,612,413,true,false,false,false
4681,638,393,true,false,false,false
4710,697,431,true,false,false,false
4742,652,393,true,false,false,false
4771,631,372,true,false,false,false
4802,669,322,true,false,false,false
4832,666,260,true,false,false,false
4859,672,197,true,false,false,false
4882,658,177,true,false,false,false
4907,625,141,true,false,false,false
4931,564,78,false,false,false,true
4956,589,65,false,false,false,true
4983,598,90,true,false,false,false
5005,608,115,true,false,false,false
5032,620,121,true,false,false,false
5061,619,106,true,false,false,false
5096,602,103,true,false,false,false
5127,612,102,true,false,false,false
5151,620,102,true,false,false,false
5178,623,117,true,false,false,false
5210,642,161,true,false,false,false
5252,664,173,true,false,false,false
5299,660,204,true,false,false,false
5336,695,257,true,false,false,false
5371,669,271,true,false,false,false
5404,651,295,true,false,false,false
5431,654,333,true,false,false,false
5455,645,363,true,false,false,false
5479,648,352,true,false,false,false
5509,658,336,true,false,false,false
5531,658,324,true,false,false,false
5553,652,313,true,false,false,false
5577,652,303,true,false,false,false
5601,657,294,true,false,false,false
5627,630,276,true,false,false,false
5665,586,257,true,false,false,false
5711,547,225,true,false,false,false
5762,599,260,true,false,false,false
5803,609,359,true,false,false,false
5838,552,459,true,false,false,false
5874,493,326,true,false,false,false
5903,516,357,true,false,false,false
5935,470,350,true,false,false,false
5970,514,411,true,false,false,false
6004,565,523,false,false,true,false
6041,560,543,false,false,true,false
6080,535,525,false,false,true,false
6122,501,499,false,false,false,true
6162,487,445,true,false,false,false
6193,483,409,true,false,false,false
6219,474,373,true,false,false,false
6243,469,331,true,false,false,false
6267,482,323,true,false,false,false
6293,495,284,true,false,false,false
6320,484,272,true,false,false,false
6344,455,237,true,false,false,false
6370,464,195,true,false,false,false
6396,488,155,true,false,false,false
6423,500,144,true,false,false,false
6448,509,146,true,false,false,false
6473,538,166,true,false,false,false
6500,568,178,true,false,false,false
6545,592,189,true,false,false,false
6588,588,210,true,false,false,false
6626,595,216,true,false,false,false
6662,616,218,true,false,false,false
6694,625,228,true,false,false,false
6722,642,227,true,false,false,false
6746,615,220,true,false,false,false
6769,576,205,true,false,false,false
6792,561,202,true,false,false,false
6829,537,200,true,false,false,false
6872,508,325,true,false,false,false
6907,484,432,true,false,false,false
6933,483,536,false,false,true,false
6961,496,468,true,false,false,false
6987,412,383,true,false,false,false
7013,434,388,true,false,false,false
7036,466,438,true,false,false,false
7060,447,416,true,false,false,false
7083,442,435,true,false,false,false
7109,427,480,true,false,false,false
7133,428,417,true,false,false,false
7160,410,390,true,false,false,false
7187,404,384,true,false,false,false
7210,391,358,true,false,false,false
7232,382,336,true,false,false,false
7256,386,354,true,false,false,false
7283,445,323,true,false,false,false
7307,498,268,true,false,false,false
7329,529,272,true,false,false,false
7356,542,281,true,false,false,false
7381,587,263,true,false,false,false
7404,631,259,true,false,false,false
7431,667,257,true,false,false,false
7455,693,250,true,false,false,false
7482,728,232,true,false,false,false
7510,691,211,true,false,false,false
7536,684,190,true,false,false,false
7557,679,172,true,false,false,false
7581,698,167,true,false,false,false
7618,700,173,true,false,false,false
7665,719,198,true,false,false,false
7715,685,242,true,false,false,false
7753,672,228,true,false,false,false
7786,647,278,true,false,false,false
7809,615,311,true,false,false,false
7831,589,350,true,false,false,false
7854,593,322,true,false,false,false
7894,592,307,true,false,false,false
7936,580,280,true,false,false,false
7979,578,262,true,false,false,false
8013,608,205,true,false,false,false
8043,601,179,true,false,false,false
8071,581,179,true,false,false,false
8096,564,181,true,false,false,false
8122,550,185,true,false,false,false
8148,557,178,true,false,false,false
8177,526,277,true,false,false,false
8202,562,409,true,false,false,false
8226,584,543,false,false,true,false
8249,592,627,false,false,true,false
8278,573,738,false,false,false,true
8302,498,726,false,false,false,true
8330,522,647,false,false,true,false
8369,583,624,false,false,true,false
8408,600,545,false,false,true,false
8448,597,455,true,false,false,false
8478,651,397,true,false,false,false
8507,644,347,true,false,false,false
8533,636,307,true,false,false,false
8561,635,242,true,false,false,false
8588,630,157,true,false,false,false
8614,636,84,true,false,false,false
8640,641,26,false,false,false,true
8666,627,65,false,false,false,true
8690,609,50,false,false,false,true
8715,617,33,false,false,false,true
8739,600,41,false,false,false,true
8763,585,51,false,false,false,true
8793,600,56,false,false,false,true
8823,596,57,false,false,false,true
8851,601,62,false,false,false,true
8880,631,62,false,false,false,true
8906,615,65,false,false,false,true
8932,620,76,false,false,false,true
8963,622,76,false,false,false,true
9005,621,117,true,false,false,false
9047,642,117,true,false,false,false
9086,650,124,true,false,false,false
9122,657,131,true,false,false,false
9152,682,141,true,false,false,false
9178,692,116,true,false,false,false
9206,732,99,true,false,false,false
9234,736,74,false,false,false,true
9260,749,97,true,false,false,false
9285,775,137,true,false,false,false
9311,785,175,true,false,false,false
9335,792,207,true,false,false,false
9359,818,203,true,false,false,false
9379,853,173,true,false,false,false
9399,871,203,true,false,false,false
9420,840,181,true,false,false,false
9457,817,175,true,false,false,false
9497,788,200,true,false,false,false
9538,793,208,true,false,false,false
9572,776,231,true,false,false,false
9601,765,251,true,false,false,false
9624,771,258,true,false,false,false
9643,721,221,true,false,false,false
9664,678,188,true,false,false,false
