Calibration_Accuracy,76
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
3,25,375,false,false,false,true
8,36,401,true,false,false,false
26,39,420,false,false,false,true
72,45,423,false,false,false,true
147,49,425,false,false,false,true
205,50,407,true,false,false,false
246,48,412,true,false,false,false
285,52,423,false,false,false,true
372,142,384,true,false,false,false
461,190,353,true,false,false,false
515,185,323,true,false,false,false
580,302,305,true,false,false,false
641,368,299,true,false,false,false
691,495,314,true,false,false,false
734,537,312,true,false,false,false
773,546,326,true,false,false,false
813,560,335,true,false,false,false
851,545,306,true,false,false,false
880,585,251,true,false,false,false
926,636,262,true,false,false,false
969,627,265,true,false,false,false
1010,628,286,true,false,false,false
1058,687,315,true,false,false,false
1098,647,345,true,false,false,false
1125,610,339,true,false,false,false
1155,634,342,true,false,false,false
1179,619,332,true,false,false,false
1202,544,351,true,false,false,false
1230,565,381,true,false,false,false
1262,497,322,true,false,false,false
1291,512,313,true,false,false,false
1328,541,271,true,false,false,false
1367,557,229,true,false,false,false
1417,625,223,true,false,false,false
1465,705,225,true,false,false,false
1510,729,228,true,false,false,false
1549,702,265,true,false,false,false
1586,708,362,true,false,false,false
1620,785,393,true,false,false,false
1658,876,423,false,false,false,true
1690,924,387,true,false,false,false
1732,954,393,true,false,false,false
1773,990,375,true,false,false,false
1808,1103,373,true,false,false,false
1838,1241,323,false,true,false,false
1876,1327,310,false,true,false,false
1912,1415,284,false,true,false,false
1941,1471,259,false,true,false,false
1976,1490,198,false,false,false,true
2015,1548,153,false,false,false,true
2073,1595,145,false,false,false,true
2148,1648,117,false,false,false,true
2191,1674,112,false,false,false,true
2227,1690,99,false,false,false,true
2266,1630,102,false,false,false,true
2302,1595,108,false,false,false,true
2336,1555,103,false,false,false,true
2364,1520,101,false,false,false,true
2401,1490,142,false,false,false,true
2435,1464,177,false,true,false,false
2477,1465,215,false,true,false,false
2517,1465,223,false,true,false,false
2560,1439,236,false,true,false,false
2597,1434,260,false,true,false,false
2636,1433,259,false,true,false,false
2672,1447,251,false,true,false,false
2704,1431,236,false,true,false,false
2745,1436,244,false,true,false,false
2787,1436,244,false,true,false,false
2835,1444,249,false,true,false,false
2890,1419,262,false,true,false,false
2970,1409,231,false,true,false,false
3051,1388,220,false,true,false,false
3104,1410,209,false,true,false,false
3151,1407,202,false,true,false,false
3189,1402,195,false,true,false,false
3238,1402,188,false,true,false,false
3281,1159,187,true,false,false,false
3324,949,176,true,false,false,false
3365,816,211,true,false,false,false
3398,708,249,true,false,false,false
3434,604,236,true,false,false,false
3469,540,240,true,false,false,false
3498,476,229,true,false,false,false
3532,427,222,true,false,false,false
3568,395,231,true,false,false,false
3600,376,238,true,false,false,false
3637,360,260,true,false,false,false
3675,369,390,true,false,false,false
3715,425,377,true,false,false,false
3751,532,378,true,false,false,false
3805,669,482,false,false,true,false
3894,929,429,false,false,false,true
3956,1127,366,true,false,false,false
3999,1262,289,false,true,false,false
4031,1359,208,false,true,false,false
4067,1454,168,false,true,false,false
4102,1535,130,false,false,false,true
4146,1587,108,false,false,false,true
4186,1606,91,false,false,false,true
4231,1620,75,false,false,false,true
4282,1615,66,false,false,false,true
4326,1620,106,false,false,false,true
4391,1615,112,false,false,false,true
4451,1602,76,false,false,false,true
4504,1580,99,false,false,false,true
4553,1560,122,false,false,false,true
4604,1533,130,false,false,false,true
4640,1494,106,false,false,false,true
4683,1479,119,false,false,false,true
4729,1456,146,false,true,false,false
4812,1439,149,false,true,false,false
4896,1430,162,false,true,false,false
4950,1406,176,false,true,false,false
4986,1398,200,false,true,false,false
5012,1377,221,false,true,false,false
5037,1374,227,false,true,false,false
5070,1376,218,false,true,false,false
5100,1386,215,false,true,false,false
5131,1413,173,false,true,false,false
5169,1381,353,false,true,false,false
5202,1253,378,false,true,false,false
5237,1149,377,true,false,false,false
5273,960,426,false,false,false,true
5311,799,474,false,false,true,false
5350,656,535,false,false,true,false
5391,538,502,false,false,true,false
5426,555,484,false,false,true,false
5461,538,438,false,false,true,false
5496,603,374,true,false,false,false
5529,835,336,true,false,false,false
5559,1035,274,true,false,false,false
5591,1155,235,true,false,false,false
5623,1243,230,false,true,false,false
5666,1287,207,false,true,false,false
5728,1358,204,false,true,false,false
5799,1367,209,false,true,false,false
5851,1356,190,false,true,false,false
5896,1382,203,false,true,false,false
5936,1330,415,false,false,false,true
5981,1279,460,false,false,false,true
6018,1194,499,false,false,true,false
6057,1068,468,false,false,true,false
6097,895,491,false,false,true,false
6139,752,463,false,false,true,false
6183,659,421,false,false,false,true
6222,612,394,true,false,false,false
6260,539,397,true,false,false,false
6295,439,395,true,false,false,false
6331,379,416,true,false,false,false
6373,309,432,false,false,false,true
6440,352,414,true,false,false,false
6506,482,443,false,false,true,false
6564,746,448,false,false,true,false
6611,961,394,true,false,false,false
6651,1148,345,true,false,false,false
6685,1284,294,false,true,false,false
6724,1351,240,false,true,false,false
6759,1440,217,false,true,false,false
6797,1509,192,false,false,false,true
6844,1560,190,false,false,false,true
6899,1586,135,false,false,false,true
6947,1580,127,false,false,false,true
6984,1552,126,false,false,false,true
7021,1537,136,false,false,false,true
7054,1535,128,false,false,false,true
7079,1520,133,false,false,false,true
7107,1512,143,false,false,false,true
7137,1499,145,false,false,false,true
7167,1475,155,false,true,false,false
7196,1454,165,false,true,false,false
7228,1427,170,false,true,false,false
7258,1432,172,false,true,false,false
7286,1424,185,false,true,false,false
7313,1425,201,false,true,false,false
7351,1377,195,false,true,false,false
7410,1368,186,false,true,false,false
7470,1387,199,false,true,false,false
7527,1408,216,false,true,false,false
7570,1400,214,false,true,false,false
7610,1413,190,false,true,false,false
7638,1430,163,false,true,false,false
7672,1428,164,false,true,false,false
7699,1426,150,false,true,false,false
7733,1430,149,false,true,false,false
7766,1437,152,false,true,false,false
7800,1440,154,false,true,false,false
7841,1439,167,false,true,false,false
7881,1441,185,false,true,false,false
7921,1442,194,false,true,false,false
7960,1432,206,false,true,false,false
8002,1431,202,false,true,false,false
8050,1286,218,false,true,false,false
8090,1108,241,true,false,false,false
8135,948,234,true,false,false,false
8230,802,207,true,false,false,false
8316,808,213,true,false,false,false
8375,891,192,true,false,false,false
8419,928,189,true,false,false,false
8453,979,173,true,false,false,false
8495,1017,175,true,false,false,false
8535,1039,171,true,false,false,false
8572,1024,191,true,false,false,false
8616,878,271,true,false,false,false
8653,746,339,true,false,false,false
8687,423,407,true,false,false,false
8722,256,451,false,false,true,false
8768,25,494,false,false,false,true
8818,-78,553,false,false,false,true
8872,-179,590,false,false,false,true
8921,-54,528,false,false,false,true
8963,209,511,false,false,true,false
8998,370,502,false,false,true,false
9030,456,467,false,false,true,false
9059,567,493,false,false,true,false
9087,610,447,false,false,true,false
9116,828,465,false,false,true,false
9202,1046,506,false,false,true,false
9230,1313,389,false,true,false,false
9257,1514,327,false,false,false,true
9284,1600,261,false,false,false,true
9308,1823,195,false,false,false,true
9334,1966,129,false,false,false,true
9358,2038,83,false,false,false,true
9408,2075,46,false,false,false,true
9504,2079,21,false,false,false,true
9554,2106,-11,false,false,false,true
9595,1971,-2,false,false,false,true
9626,1850,11,false,false,false,true
9654,1778,43,false,false,false,true
9675,1653,92,false,false,false,true
9699,1443,169,false,true,false,false
9726,1340,208,false,true,false,false
9753,1178,251,true,false,false,false
9790,1067,272,true,false,false,false
9833,1037,284,true,false,false,false
9872,1038,271,true,false,false,false
9910,1006,286,true,false,false,false
9937,1021,274,true,false,false,false
9965,1043,284,true,false,false,false
9997,1135,284,true,false,false,false
10038,1201,277,false,false,false,true
10076,1257,273,false,true,false,false
10114,1320,278,false,true,false,false
10153,1385,296,false,true,false,false
10201,1415,306,false,true,false,false
10248,1431,339,false,true,false,false
10316,1454,386,false,true,false,false
10386,1264,423,false,false,false,true
10429,1065,406,true,false,false,false
10462,913,375,true,false,false,false
10494,785,379,true,false,false,false
10523,674,340,true,false,false,false
