Start,End,Label
0,8000,strong music
8000,22000,story start with a boy playing game
22000,36000,his mother arrived home
36000,45000,his mother opens the curtain
45000,56000,mother going up stairs
56000,69000,the boy opened the box and a dog came out
69000,79000,the dog wanted to play with the boy
79000,94000,the dog play wiht itself
94000,108000,the dog see a red ball under the warddrop
108000,121000,the man kicked the red ball into the box
121000,165000,the boy watching the dog  playing so happy
165000,189000,the boy decided to play with the dog
189000,204000,they went out together
