Calibration_Accuracy,71
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
20,1009,479,true,false,false,false
20,980,497,false,false,false,true
48,966,407,true,false,false,false
136,949,389,true,false,false,false
199,916,352,true,false,false,false
237,864,299,true,false,false,false
270,849,256,true,false,false,false
308,852,247,true,false,false,false
364,875,222,true,false,false,false
450,844,164,true,false,false,false
502,833,185,true,false,false,false
542,796,154,true,false,false,false
581,750,128,true,false,false,false
623,742,192,true,false,false,false
665,738,227,true,false,false,false
699,780,271,true,false,false,false
729,874,279,true,false,false,false
766,920,290,true,false,false,false
800,1022,285,true,false,false,false
832,1068,268,true,false,false,false
865,1124,274,true,false,false,false
903,1097,297,true,false,false,false
946,1061,315,true,false,false,false
1000,1104,309,true,false,false,false
1053,1137,329,true,false,false,false
1117,1257,248,false,true,false,false
1170,1177,247,true,false,false,false
1219,1151,212,true,false,false,false
1263,1090,190,true,false,false,false
1314,972,209,true,false,false,false
1366,944,213,true,false,false,false
1408,861,240,true,false,false,false
1464,821,256,true,false,false,false
1514,803,248,true,false,false,false
1551,812,287,true,false,false,false
1593,785,300,true,false,false,false
1646,880,280,true,false,false,false
1702,925,253,true,false,false,false
1753,900,253,true,false,false,false
1803,953,253,true,false,false,false
1852,928,278,true,false,false,false
1889,923,324,true,false,false,false
1934,884,318,true,false,false,false
2000,812,347,true,false,false,false
2068,799,296,true,false,false,false
2138,530,308,true,false,false,false
2253,525,327,true,false,false,false
2359,439,347,true,false,false,false
2428,338,322,true,false,false,false
2490,305,260,true,false,false,false
2566,300,300,true,false,false,false
2607,345,369,true,false,false,false
2653,454,333,true,false,false,false
2689,428,386,true,false,false,false
2739,558,439,true,false,false,false
2792,663,416,true,false,false,false
2904,912,403,true,false,false,false
2986,1024,345,true,false,false,false
3041,1041,378,true,false,false,false
3088,1076,344,true,false,false,false
3134,1010,357,true,false,false,false
3197,1172,360,true,false,false,false
3274,1264,377,false,true,false,false
3363,1222,351,false,true,false,false
3431,1302,356,false,true,false,false
3481,1342,367,false,true,false,false
3526,1343,346,false,true,false,false
3568,1369,321,false,true,false,false
3617,1347,343,false,true,false,false
3663,1291,389,false,true,false,false
3715,1105,426,true,false,false,false
3809,1114,327,true,false,false,false
3895,1195,330,false,false,false,true
3954,1127,217,true,false,false,false
4011,1079,162,true,false,false,false
4065,967,132,true,false,false,false
4108,1126,153,true,false,false,false
4147,995,191,true,false,false,false
4189,917,255,true,false,false,false
4228,817,287,true,false,false,false
4267,768,273,true,false,false,false
4310,867,257,true,false,false,false
4363,789,256,true,false,false,false
4437,737,268,true,false,false,false
4541,654,403,true,false,false,false
4613,576,416,true,false,false,false
4660,469,418,true,false,false,false
4702,436,370,true,false,false,false
4749,475,348,true,false,false,false
4791,500,320,true,false,false,false
4836,619,375,true,false,false,false
4878,614,423,true,false,false,false
4924,571,423,true,false,false,false
4976,558,471,true,false,false,false
5031,541,520,false,false,true,false
5076,539,540,false,false,true,false
5120,530,519,false,false,true,false
5191,626,496,false,false,false,true
5270,746,497,false,false,false,true
5333,996,469,true,false,false,false
5386,1118,511,false,false,true,false
5432,1184,464,true,false,false,false
5492,1238,382,false,true,false,false
5540,1211,364,false,false,false,true
5578,1143,438,true,false,false,false
5618,1097,519,false,false,true,false
5662,1083,449,true,false,false,false
5703,963,430,true,false,false,false
5748,892,385,true,false,false,false
5792,973,266,true,false,false,false
5832,1005,208,true,false,false,false
5897,1194,136,true,false,false,false
5979,1108,158,true,false,false,false
6032,1001,267,true,false,false,false
6079,960,230,true,false,false,false
6121,1030,241,true,false,false,false
6164,996,238,true,false,false,false
6211,981,217,true,false,false,false
6261,881,190,true,false,false,false
6306,817,149,true,false,false,false
6348,731,125,true,false,false,false
6401,720,134,true,false,false,false
6456,849,110,true,false,false,false
6535,778,235,true,false,false,false
6614,594,286,true,false,false,false
6675,730,242,true,false,false,false
6729,790,223,true,false,false,false
6770,769,251,true,false,false,false
6803,729,344,true,false,false,false
6838,873,245,true,false,false,false
6869,894,195,true,false,false,false
6905,1017,129,true,false,false,false
6938,938,130,true,false,false,false
6974,945,121,true,false,false,false
7027,947,109,true,false,false,false
7104,912,98,true,false,false,false
