Calibration_Accuracy,62
Time(ms),Gaze_X,Gaze_Y,On_Video,On_Function_Bar,On_Time_Bar,Others
3,418,440,false,false,true,false
17,402,419,false,false,false,true
79,487,382,true,false,false,false
128,528,329,true,false,false,false
169,571,292,true,false,false,false
220,602,257,true,false,false,false
287,708,237,true,false,false,false
341,1015,157,true,false,false,false
408,1211,135,false,false,false,true
487,1301,140,false,false,false,true
554,1429,145,false,true,false,false
621,1421,169,false,true,false,false
681,1404,166,false,true,false,false
728,1442,166,false,true,false,false
770,1433,171,false,true,false,false
821,1416,192,false,true,false,false
878,1496,222,false,false,false,true
917,1502,242,false,false,false,true
950,1503,282,false,false,false,true
988,1508,302,false,false,false,true
1022,1505,311,false,false,false,true
1065,1503,291,false,false,false,true
1103,1554,294,false,false,false,true
1146,1494,307,false,false,false,true
1184,1493,278,false,false,false,true
1239,1461,273,false,true,false,false
1291,1398,273,false,true,false,false
1337,1408,270,false,true,false,false
1376,1421,255,false,true,false,false
1409,1420,244,false,true,false,false
1442,1419,233,false,true,false,false
1477,1418,235,false,true,false,false
1515,1401,219,false,true,false,false
1550,1421,216,false,true,false,false
1581,1431,236,false,true,false,false
1614,1405,231,false,true,false,false
1652,1429,221,false,true,false,false
1682,1494,211,false,false,false,true
1719,1359,214,false,true,false,false
1757,1151,243,true,false,false,false
1794,949,291,true,false,false,false
1828,807,328,true,false,false,false
1859,708,313,true,false,false,false
1894,641,336,true,false,false,false
1930,593,326,true,false,false,false
1966,603,327,true,false,false,false
1999,733,325,true,false,false,false
2028,866,306,true,false,false,false
2057,1055,278,true,false,false,false
2089,1215,256,false,false,false,true
2121,1306,214,false,true,false,false
2159,1387,177,false,true,false,false
2195,1453,154,false,true,false,false
2233,1475,156,false,true,false,false
2268,1508,149,false,false,false,true
2299,1528,143,false,false,false,true
2332,1543,110,false,false,false,true
2367,1560,77,false,false,false,true
2404,1586,38,false,false,false,true
2440,1499,44,false,false,false,true
2474,1266,66,false,false,false,true
2507,1060,112,true,false,false,false
2541,843,140,true,false,false,false
2576,712,187,true,false,false,false
2608,581,239,true,false,false,false
2642,478,276,true,false,false,false
2676,419,295,true,false,false,false
2707,348,312,true,false,false,false
2739,361,331,true,false,false,false
2771,411,316,true,false,false,false
2808,417,335,true,false,false,false
2844,505,296,true,false,false,false
2879,530,316,true,false,false,false
2912,560,295,true,false,false,false
2941,593,293,true,false,false,false
2969,601,272,true,false,false,false
2996,616,272,true,false,false,false
3035,787,271,true,false,false,false
3071,916,271,true,false,false,false
3110,1008,253,true,false,false,false
3145,1070,249,true,false,false,false
3193,1128,249,true,false,false,false
3238,1256,221,false,true,false,false
3281,1439,194,false,true,false,false
3331,1583,181,false,false,false,true
3369,1673,193,false,false,false,true
3427,1684,199,false,false,false,true
3480,1722,198,false,false,false,true
3523,1744,208,false,false,false,true
3565,1731,218,false,false,false,true
3602,1696,214,false,false,false,true
3637,1635,189,false,false,false,true
3673,1614,173,false,false,false,true
3716,1541,198,false,false,false,true
3762,1550,211,false,false,false,true
3811,1491,224,false,false,false,true
3854,1474,228,false,true,false,false
3897,1442,241,false,true,false,false
3945,1434,239,false,true,false,false
3985,1392,240,false,true,false,false
4030,1368,240,false,true,false,false
4071,1395,221,false,true,false,false
4116,1330,233,false,true,false,false
4151,1223,219,false,false,false,true
4191,1108,211,true,false,false,false
4229,1071,205,true,false,false,false
4264,1011,197,true,false,false,false
4308,1023,203,true,false,false,false
4345,1024,244,true,false,false,false
4384,1050,273,true,false,false,false
4421,1009,325,true,false,false,false
4464,1039,326,true,false,false,false
4500,1033,326,true,false,false,false
4543,1106,329,true,false,false,false
4582,1137,320,true,false,false,false
4622,1204,308,false,false,false,true
4658,1246,283,false,true,false,false
4702,1256,273,false,true,false,false
4741,1288,265,false,true,false,false
4783,1328,247,false,true,false,false
4815,1330,236,false,true,false,false
4856,1378,228,false,true,false,false
4890,1459,214,false,true,false,false
4934,1407,212,false,true,false,false
4969,1371,200,false,true,false,false
5017,1361,192,false,true,false,false
5052,1355,178,false,true,false,false
5087,1282,192,false,true,false,false
5121,1197,186,false,false,false,true
5157,1165,171,true,false,false,false
5192,1139,174,true,false,false,false
5230,1128,211,true,false,false,false
5265,1115,249,true,false,false,false
5302,1042,240,true,false,false,false
5338,968,271,true,false,false,false
5372,950,297,true,false,false,false
5408,888,307,true,false,false,false
5443,839,302,true,false,false,false
5484,807,281,true,false,false,false
5519,845,278,true,false,false,false
5549,819,306,true,false,false,false
5581,808,326,true,false,false,false
5628,828,315,true,false,false,false
5672,828,321,true,false,false,false
5704,943,303,true,false,false,false
5742,1099,308,true,false,false,false
5779,1171,305,true,false,false,false
5815,1181,297,true,false,false,false
5852,1180,325,true,false,false,false
5893,1185,341,true,false,false,false
5930,1154,339,true,false,false,false
5966,1082,313,true,false,false,false
6008,1036,261,true,false,false,false
6045,923,271,true,false,false,false
6079,838,212,true,false,false,false
6115,831,213,true,false,false,false
6147,870,222,true,false,false,false
6180,902,231,true,false,false,false
6216,903,221,true,false,false,false
6251,962,254,true,false,false,false
6282,943,271,true,false,false,false
6313,952,281,true,false,false,false
6349,942,308,true,false,false,false
6381,914,314,true,false,false,false
6417,867,322,true,false,false,false
6449,879,317,true,false,false,false
6482,898,312,true,false,false,false
6515,862,290,true,false,false,false
6549,884,279,true,false,false,false
6580,891,284,true,false,false,false
6615,926,292,true,false,false,false
6659,826,304,true,false,false,false
6695,794,315,true,false,false,false
6728,786,309,true,false,false,false
6767,765,336,true,false,false,false
6799,807,335,true,false,false,false
6833,827,346,true,false,false,false
6866,850,372,true,false,false,false
6896,830,359,true,false,false,false
6930,847,390,true,false,false,false
6964,907,402,true,false,false,false
6998,923,409,true,false,false,false
7032,882,417,true,false,false,false
7064,858,408,true,false,false,false
7096,844,405,true,false,false,false
7130,851,386,true,false,false,false
7168,861,369,true,false,false,false
7199,871,360,true,false,false,false
7234,892,354,true,false,false,false
7272,920,329,true,false,false,false
7304,966,317,true,false,false,false
7335,994,300,true,false,false,false
7370,1013,293,true,false,false,false
7402,1015,257,true,false,false,false
7439,1001,261,true,false,false,false
7475,982,246,true,false,false,false
7514,950,250,true,false,false,false
7555,926,250,true,false,false,false
7590,903,256,true,false,false,false
7622,904,249,true,false,false,false
7652,879,261,true,false,false,false
7684,931,245,true,false,false,false
7715,933,260,true,false,false,false
7746,944,265,true,false,false,false
7780,919,256,true,false,false,false
7813,941,254,true,false,false,false
7853,1056,232,true,false,false,false
7891,1138,224,true,false,false,false
7930,1160,193,true,false,false,false
7965,1185,164,true,false,false,false
8000,1219,148,false,false,false,true
8041,1259,130,false,false,false,true
8076,1227,128,false,false,false,true
8109,1206,123,false,false,false,true
8146,1187,126,true,false,false,false
8179,1104,140,true,false,false,false
8216,1065,145,true,false,false,false
8247,1140,131,true,false,false,false
8296,1236,99,false,false,false,true
8335,1337,71,false,false,false,true
8367,1427,46,false,false,false,true
8398,1484,18,false,false,false,true
8434,1588,-5,false,false,false,true
8468,1649,-20,false,false,false,true
8501,1648,-4,false,false,false,true
8538,1541,19,false,false,false,true
8572,1426,34,false,false,false,true
8605,1327,51,false,false,false,true
8644,1284,86,false,false,false,true
8680,1240,118,false,false,false,true
8722,1243,138,false,false,false,true
8756,1218,161,false,false,false,true
8790,1213,157,false,false,false,true
8822,1226,162,false,false,false,true
8857,1195,170,true,false,false,false
8889,1195,164,true,false,false,false
8921,1233,167,false,false,false,true
8953,1251,169,false,true,false,false
8983,1279,171,false,true,false,false
9011,1298,167,false,true,false,false
9038,1322,171,false,true,false,false
9073,1300,173,false,true,false,false
9113,1295,171,false,true,false,false
9157,1285,170,false,true,false,false
9198,1254,197,false,true,false,false
9236,1238,188,false,true,false,false
9268,1192,202,true,false,false,false
9300,1218,197,false,false,false,true
9335,1280,186,false,true,false,false
9373,1212,197,false,false,false,true
9405,1065,260,true,false,false,false
9436,1022,306,true,false,false,false
9469,932,370,true,false,false,false
9501,842,392,true,false,false,false
9534,785,379,true,false,false,false
9566,770,376,true,false,false,false
9603,711,375,true,false,false,false
9637,758,373,true,false,false,false
9670,811,370,true,false,false,false
9706,827,347,true,false,false,false
9741,909,332,true,false,false,false
9782,961,319,true,false,false,false
9816,1013,315,true,false,false,false
9858,1118,269,true,false,false,false
